author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date
@GameOver-ed3fb,Coba bang Samsung j 15 prime,2024-11-11T12:02:03Z,0,Infinix Zero 30,Infinix,Mid-Range,August 2024
@Sindofendisa-ve7ru,"tapi sekarang udah turun harga nya turun bang 2,500 juta",2024-11-08T08:05:42Z,0,Infinix Zero 30,Infinix,Mid-Range,August 2024
@Egaalfariz123,Bingung gua mending zero 30 apa hot 50 pro😢,2024-11-04T12:52:21Z,0,Infinix Zero 30,Infinix,Mid-Range,August 2024
@AIMUSIK-t1v,"Punya sya yg 4g sudah dpt update android 14,tp untuk suaranya mash enak yg android versi 13,",2024-11-01T04:12:10Z,0,Infinix Zero 30,Infinix,Mid-Range,August 2024
@gufronwahyudi5616,Bang mending infinix note 40 4g atau zero 30 4g,2024-10-31T05:58:14Z,0,Infinix Zero 30,Infinix,Mid-Range,August 2024
@RatnaHidayat-de2qw,"Ragu mau beli infinix karena saya fikir kok bisa speaknya gahar gahar tapi harganya murah, bisa jangka panjang gk?",2024-10-29T13:49:31Z,0,Infinix Zero 30,Infinix,Mid-Range,August 2024
@sandypramana2994,Zero 30 sma note 40 lebih worth it mana bang?,2024-10-25T10:50:10Z,0,Infinix Zero 30,Infinix,Mid-Range,August 2024
@JUDISLOTMEMBUNUHMU,"Hot 50pro+ Murid
Infiniz Zero30 GURU ✅

Jgn sombong dulu lu bray KALO DI ADU KAMERA PHOTO DAN VIDEO
JELAS KALAH TELAK.. ‼️",2024-10-24T19:34:24Z,0,Infinix Zero 30,Infinix,Mid-Range,August 2024
@fadliika,Infinix emang gak suka jack audio yaa note 40 juga gak ada ngincer nya biar bisa main pubg🙏,2024-10-21T11:56:56Z,0,Infinix Zero 30,Infinix,Mid-Range,August 2024
@gurusdku3235,Kalau mau rekam buat video pembelajaran ukin sampai 2jam bisa bang?,2024-10-18T10:04:32Z,0,Infinix Zero 30,Infinix,Mid-Range,August 2024
@kenchannel383,sebenarnya tergoda saya bang tpi kira2 awet gak ya bang untuk pakaian jangka panjang...ya buat harian aja...dan game pun jarang2 ...dan adakah keluhan di kekuatan sinyal...di daerah yg jauh dri tower...,2024-10-17T10:51:31Z,1,Infinix Zero 30,Infinix,Mid-Range,August 2024
@putuBali_1,Bagusan mana Infinix zero 30 5g atau xiaomi note 13 pro 5g ya?,2024-10-16T12:44:20Z,0,Infinix Zero 30,Infinix,Mid-Range,August 2024
@AndreSaputra-mc4tv,"serius bang gw nanya itu speaker telfon nya ada pelingdung nya atau engga ya, soal nya gw baru beli tapi kagak ada, gak kayak hp pada umum nya itu pasti ada jadi kayak keliatan bolong lubang speaker telfon nya, Makasih bang @GatgetIn",2024-10-10T13:46:00Z,0,Infinix Zero 30,Infinix,Mid-Range,August 2024
@Oppoa95-b5u,Bisa pake jaringan 4G/5G,2024-10-09T19:23:00Z,0,Infinix Zero 30,Infinix,Mid-Range,August 2024
@arsanarsan312,"Ya bang kalau audio mono itu bas lebih kenceng,",2024-10-09T06:28:54Z,0,Infinix Zero 30,Infinix,Mid-Range,August 2024
@ropikbae5863,"Hari ini baru beli yg sekenn...dpt harga 1.950....
Liat vidio ini bagus bnget hp ny.. pas cek barang nya malahan lebih kerennn pas udh liat langsung....mntp😊....main game ringan rata kanan no lag",2024-10-06T17:40:03Z,0,Infinix Zero 30,Infinix,Mid-Range,August 2024
@マヘンドラジョ,"S21 ultra saya serasa sampah ..melihat kemampuan hp ini untuk performa,  dan ketahanan baterai , padahal hp saya tidak pernah di pakai main game , dan sekarang BH ny 78% saja , infinix anda membuat saya menyesal memiliki flagship ini . 😢😢",2024-10-05T12:50:39Z,0,Infinix Zero 30,Infinix,Mid-Range,August 2024
@BidadariCucit-cd3sl,"Kalau byk hp warna bagus gini, jangan lg buat hp warna hitam.",2024-10-03T10:40:25Z,0,Infinix Zero 30,Infinix,Mid-Range,August 2024
@anggaraerlangga5982,xiaomi apa infinix bang buat jangka waktu panjang?,2024-10-01T13:35:24Z,0,Infinix Zero 30,Infinix,Mid-Range,August 2024
@gabrielmarsepta9663,"Aku tipikal gonta gnti hp , percaya banget liat chanel david karena detail jjur gk lebay .",2024-09-30T18:06:56Z,0,Infinix Zero 30,Infinix,Mid-Range,August 2024
@maurinafajry4683,dri kamera bagus note 40 atau yg zero ini..?,2024-09-28T13:24:53Z,0,Infinix Zero 30,Infinix,Mid-Range,August 2024
@dedihaw899,bang bahas infinix zero flip,2024-09-28T08:36:46Z,1,Infinix Zero 30,Infinix,Mid-Range,August 2024
@aaborneo4244,Infinix zero flip bng,2024-09-26T09:19:02Z,0,Infinix Zero 30,Infinix,Mid-Range,August 2024
@vikiabimanyu899,Vid Review infinix zero flip dong,2024-09-26T08:24:30Z,0,Infinix Zero 30,Infinix,Mid-Range,August 2024
@FarizSetiawan-h8w,Bang bisa d upgrade android 14 gx,2024-09-23T16:07:59Z,1,Infinix Zero 30,Infinix,Mid-Range,August 2024
@ApaAjaBoleh_AAB,Yg Infinix Zero 30 5G kapan XOS 14?,2024-09-22T18:31:59Z,0,Infinix Zero 30,Infinix,Mid-Range,August 2024
@agusmuncar4362,Suport by pass charging gak?,2024-09-21T04:06:29Z,0,Infinix Zero 30,Infinix,Mid-Range,August 2024
@dedyms305,Ini udah dukung nyetel vidio 4k apa belom bank.,2024-09-19T04:14:33Z,0,Infinix Zero 30,Infinix,Mid-Range,August 2024
@agungalvarest7304,Saran dong mending ambil ini apa yang note 40 ya?,2024-09-18T17:07:25Z,0,Infinix Zero 30,Infinix,Mid-Range,August 2024
