author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date
@LisdaSahadatia,Buat game berat bagus ga bangg,2024-11-09T10:17:12Z,0,Realme C61,Realme,Entry-Level,September 2024
@EdrilEdril-g3e,Bang itu hp nya harganya satujutan brapa,2024-11-08T10:23:04Z,0,Realme C61,Realme,Entry-Level,September 2024
@farikhinchannelstory2849,Baru beli tapi kok sim tidak ada jaringan gimana,2024-11-07T10:01:25Z,0,Realme C61,Realme,Entry-Level,September 2024
@RaraMutiara-pg8vw,Bg ada gerak lambat nya gk video ny,2024-11-07T07:01:28Z,0,Realme C61,Realme,Entry-Level,September 2024
@mutammyma,"kl untuk anak yg suka lempar hp, lebih ke C63 atau C61 kak ?",2024-11-01T20:59:50Z,0,Realme C61,Realme,Entry-Level,September 2024
@niiasonia3727,"Ini yg komen aneh"" 😑",2024-11-01T14:15:44Z,0,Realme C61,Realme,Entry-Level,September 2024
@Kinan-m9h,Mending realme c61 atau vivo y18 ?,2024-10-31T03:07:37Z,0,Realme C61,Realme,Entry-Level,September 2024
@ImelBaru-o2d,Beli yg atau realme 13 ya 😊,2024-10-24T11:32:58Z,0,Realme C61,Realme,Entry-Level,September 2024
@RawonZulaikhaRyonika,C61 ram 8 untuk micro sd pakai yg brp gb?,2024-10-22T16:18:43Z,0,Realme C61,Realme,Entry-Level,September 2024
@EllaAntikalusi,"Berpa harga realme c63 ram 8 
Dan realme c61 ini kak?",2024-10-21T09:55:45Z,0,Realme C61,Realme,Entry-Level,September 2024
@Arifinvlog205,Tahan Air ngk kak,2024-10-16T23:59:23Z,0,Realme C61,Realme,Entry-Level,September 2024
@carinawindy7510,"Kak hp ini bisa clone tik tok bawaan dr hp ngga,,mksh klu mau jwb 🙏",2024-10-14T02:02:12Z,0,Realme C61,Realme,Entry-Level,September 2024
@arieyttwo,Pake android full ya?,2024-10-12T10:54:19Z,0,Realme C61,Realme,Entry-Level,September 2024
