author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date
@yudisafri3008,"Kali Ini Baru Pertama Lagi Kali Saya Liat Lagi,.Karena Punya Baru Hp Saya Beli",2024-11-09T07:15:09Z,0,Sharp Aquos Sense 8,Sharp,Mid-Range,January 2024
@CahayaCahayaandriani-co5yo,Jelek.. Samsung baru boleh,2024-11-08T05:53:55Z,0,Sharp Aquos Sense 8,Sharp,Mid-Range,January 2024
@Zaiziliali-v5m,semua seri sharp seri middle. biar pun nyaman dipakai. kelemahan utamanya adalah kameranya burikkkk..burikk..beberapa kali beli seri yang berbeda. sama aja,2024-10-29T01:39:01Z,0,Sharp Aquos Sense 8,Sharp,Mid-Range,January 2024
@dhaniadi8887,Lebih worth it mana sama vivo v23 5g?,2024-10-24T15:16:38Z,0,Sharp Aquos Sense 8,Sharp,Mid-Range,January 2024
@irwanheriani4396,"Saya sarankan, mending beli merek China dengan harga yg setara",2024-10-21T12:44:52Z,1,Sharp Aquos Sense 8,Sharp,Mid-Range,January 2024
@WongIndoasli,Di banting yang punya jago teman paman...😅😅😅😅,2024-10-14T21:35:58Z,0,Sharp Aquos Sense 8,Sharp,Mid-Range,January 2024
@Minepixeler24,Coba compare dengan Google Pixel 7a dong bang.,2024-10-10T13:05:42Z,1,Sharp Aquos Sense 8,Sharp,Mid-Range,January 2024
@Widayana04,Ada yg jual seken msh garansi 2.5-2.7 .. sikat ga,2024-10-05T10:00:27Z,0,Sharp Aquos Sense 8,Sharp,Mid-Range,January 2024
@bramdukabram3127,Ada fitur AOD bang,2024-10-04T03:32:38Z,0,Sharp Aquos Sense 8,Sharp,Mid-Range,January 2024
@Delasta18,Nunggu harga 2 jutaaan 😂 masuk list nih layar kecil,2024-09-29T09:44:13Z,0,Sharp Aquos Sense 8,Sharp,Mid-Range,January 2024
@erwanto6948,masih pake sense 2. jatoh berkai kali ga pecah layarnya.,2024-09-25T02:35:10Z,0,Sharp Aquos Sense 8,Sharp,Mid-Range,January 2024
@habibhidayahtullah1357,Good Untuk Sharp In Japan🇯🇵,2024-09-23T04:42:55Z,0,Sharp Aquos Sense 8,Sharp,Mid-Range,January 2024
