author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date
@Suwarno-g8q,Apakah hp ini ada compass sensor?,2024-11-17T05:16:47Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@karambia1243,Kenapa sim tray nya gak bisa dibuka ya? Apa ada yang sama?,2024-11-16T22:29:40Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@pebriansyah330,Penyakit Touch nya tersedia?,2024-11-15T23:17:59Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@kikibatistuta,"Emang ada brand smartphone yang nyematin iklan?

Yang ga tau : 🤔
YTTA : 🤣🤡🗿",2024-11-15T05:58:29Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@purimutia2192,Cocok kayaknya buat ortu utk penggunaan komunikasi dan foto2 pribadi,2024-11-14T11:57:41Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@afandipolontalo5759,"kekurangannya 1, hp nya gak support kompas",2024-11-13T05:05:09Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@SaipulIpul-w2z,Di tokped lumayan minggu kemaren beli 1200 udah dpt bonus charger.,2024-11-12T11:50:26Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@nuzulaarzety1871,Ada yg ram 8 gak,2024-11-11T10:43:11Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@muhammadrafid2120,Nungguin yang a06s bag 😂😂😅,2024-11-10T13:46:38Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@andykurniawan114,samsung A06 bebas iklan gak bang?,2024-11-10T02:45:01Z,1,Galaxy A06,Samsung,Entry-Level,November 2024
@r.satriyahanindita651,Sekali lagi.. Ga ada carjernya. Ga ada carjernya,2024-11-09T14:48:17Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@andykurniawan114,"saran dong bang, ambil yg 4/64 atau 4/128. buat orang tua,
soalnya updetnya lumayan 4 tahun jangka panjang?",2024-11-08T17:12:01Z,1,Galaxy A06,Samsung,Entry-Level,November 2024
@King.Mickey69,"Aku mau Beliin Mamaku mending ini atau Redmi 13/14 .
Harganya kan beda2 dikit",2024-11-08T09:18:25Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@AjiPoetra-v4c,Kalau untuk keperluan harian sudah cukup wajib beli nich cek out ah😂😂😂,2024-11-08T05:28:24Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@RamanurFadhillah-pz4qr,Bagusan ini atau a05,2024-11-07T06:49:06Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@hosifah8568,Samsung skrg knp yeaa cuman Cable USB nya doanx,2024-11-06T00:22:51Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@AgungNugroho-ux8se,mending a06 atau a05s?,2024-11-05T09:03:02Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@irvanbrawijayaxii7248,"Baru aja beli
Masih nyari cara gunain samsung knock",2024-11-05T05:50:07Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@melianachandra6933,"Dpt SMS dr samsung ID, skrng A06 Ram  8gb.. Benarkah?",2024-11-05T01:58:52Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@seblakkucing,"yg tau jawab dong
mending mana sama redmi 14c ? kebutuhan multitasking",2024-11-03T15:51:22Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@IkaAka-b5m,Yang seri ini gk ada game boosternya,2024-11-03T01:25:18Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@NAILANaurayumna,Aplikasi sembunyi aplikasi di Oppo Uda lama ada bg hp saya Oppo 2019 UD punya aplikasi itu,2024-11-01T12:49:33Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@ryanbagus1008,genahin impact💀💀,2024-10-31T20:09:36Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@sugengekonugrohonugroho2436,Jd utk update android bs sampai android 16 ya,2024-10-30T11:29:01Z,1,Galaxy A06,Samsung,Entry-Level,November 2024
@aceleldat3601,"Samsung udah ketinggalan zaman sekarang baik segi spek, build quality dan harganya kemahalan dibanding Xiaomi, Vivo, atau Realme.",2024-10-29T17:34:41Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@mailmarzuki-zs6vo,Di endorse pastinya😅,2024-10-29T16:17:16Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@svnero5712,penyakit layar sentuh apakah masih ada...????,2024-10-28T08:58:01Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@srimualifah4776,Alhamdulillah sudah kebeli...cocok lah buat saya sebagai emak2...gak kawatir lagi mau nyimpen saldo di dompet digital....btw saya dpt adapter dan kartu XL 35gb tp gak ada kabel datanya...,2024-10-28T04:05:12Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@nyimaslia4911,"Mamaku ku beliin hp ini, seneng bgt katanya, sampe diliat2 terus
Alahamdulillah bgt bisa beliin mmama hp😂❤",2024-10-26T10:19:35Z,13,Galaxy A06,Samsung,Entry-Level,November 2024
@omnick69,Bagus untuk mobile banking ini.  Data2 aman.,2024-10-26T09:33:09Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@MTROFICIALHoegens,"Apakah ada mode game, floting windows ya teman teman",2024-10-25T21:54:40Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@yippiyappap,"kemarin beli tapi lcd nya error, alhasil masuk ssc, sepertinya si full warranty 😢 semoga :(",2024-10-25T13:12:57Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@RadiRafli,Luar biasa review x sangat jelas dan detail,2024-10-25T12:19:49Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@nurmansyah6693,apa ada nfc nya,2024-10-25T12:18:17Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@saqadaekq,bang bekas review di jual dmn.,2024-10-24T11:49:03Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@jukiy67,samsung gilaaaa,2024-10-23T17:35:29Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@_DanielManurung,Bagusan samsung a06 atau vivo y18 ya?,2024-10-23T13:18:09Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@RazakSmile_GD,17:55 untuk gw beli ditanggal segitu 😁 jadi dapat charger,2024-10-23T07:53:45Z,3,Galaxy A06,Samsung,Entry-Level,November 2024
@RazakSmile_GD,Gak nyesel saya beli Samsung A06 😁,2024-10-23T07:37:15Z,1,Galaxy A06,Samsung,Entry-Level,November 2024
@CakpiiCakpii-k8e,Orang tua ku baru beli harga nya kok cuman 1.4 y,2024-10-23T06:18:38Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@ekhonuralam2929,Barusan lihat di lajada 1.3jt,2024-10-22T10:32:37Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@niiiaes,Thank u imma buy this one for my mum then wkwk,2024-10-21T16:45:16Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@andrewliyanto,"barusan beli hp ini buat daily driver dan baterainya hemat banget, buat whatsapp dan kerjaan"" ringan recommended banget pokoknya 🥰",2024-10-20T14:46:55Z,1,Galaxy A06,Samsung,Entry-Level,November 2024
@AbidJenna-x3h,"Alhamdulillah komen dan nnton di A06..
Dr skian lama mncoba brbgai merk.. akhir.a ttep samsung yg pling srek walau dg spek seada.a.. tpi jaminan hati tenang

#Yang Pasti-Pasti Aja",2024-10-20T13:23:22Z,2,Galaxy A06,Samsung,Entry-Level,November 2024
@mhasan4127,"Kelas ini pilih yg rekom mana, Infinix Samsung Oppo redmi",2024-10-20T06:56:08Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@saqadaekq,"nunggu 3 bulan ,turun 150-200rb 😂. tinggal sabar nya kita",2024-10-20T06:33:15Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@humaiyrohmahendy_,Buat ojol rekomen ga?,2024-10-20T02:14:08Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@JonySusanto-m6t,"Bg, klo terakhir ud ampe A09 lanjut nya jd A brp bg😅",2024-10-19T05:41:32Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@ancollection8950,Om ada menu multi pengguna nggak,2024-10-18T12:35:47Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@tasumsuntara4904,"Saya beli di official store Samsung nya dapat potongan harga ram 4/128 GB cmn bayar 1,463jt aja via  tokped",2024-10-18T02:31:17Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@zhaozenpai3860,"jagat mah klo review,, keren'lah sperti biasanya. 👍👍",2024-10-17T19:22:27Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@edysetyawan8671,Maaf untuk ojol gps ny gmn ya gan?,2024-10-17T07:34:03Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@TuanZein933,Harusnya sih 6/128 GB 😮,2024-10-16T15:49:48Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@Hendra-z5s,Saran ambil ini atau yg lain untuk harga di bawah 2juta,2024-10-16T14:59:46Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@agungsetiawan-r6b,Ngicar stereo nya untuk live streaming,2024-10-16T07:43:10Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@akangflint2534,gue suka banget sama desain ni hp. simple ga kebanyakan kamera.. tapiii sayang bgt blm nfc dan layarnya kegedean.. klo aja 6.1 auto buyy sihhh,2024-10-16T06:28:29Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@BarinEdiSetiawan-q7r,Anjay c babeh make hp iyeu,2024-10-16T05:24:22Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@AdesignArtwork,Akhirnya udah kebeli..❤,2024-10-15T04:26:47Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@JefriDjami-s5t,Aku bru beli Hp ini keren bgus mntap ada sidik jarinya juga mntap lah😊😊❤❤❤😊😊😊😊,2024-10-14T07:01:33Z,1,Galaxy A06,Samsung,Entry-Level,November 2024
@agungsetiawan-r6b,Udah dual bas blm ya,2024-10-14T01:48:20Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
@wellyferdinand2303,Semoga gak kayak abangnya si A03s.. ghost touch parah,2024-10-13T08:02:41Z,0,Galaxy A06,Samsung,Entry-Level,November 2024
