author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date
@penilbukifan,Pixel in resmi di indo gk y?,2024-11-17T05:41:37Z,0,Google Pixel 9,Google,Flagship,2024
@AgusSumanto-e4d,Bg google pixel 9 pro nya buat saya😢😢,2024-11-16T12:07:33Z,0,Google Pixel 9,Google,Flagship,2024
@UusKusnadi-u3n,Bukannya ilegal di Indonesia hp itu bang ?,2024-11-15T15:18:54Z,0,Google Pixel 9,Google,Flagship,2024
@yusyusril2599,Apa perbedaan google pixel 9 pro biasa sama yang google pixel 9 pro XL,2024-11-15T01:36:27Z,0,Google Pixel 9,Google,Flagship,2024
@erikharisandi7882,Bang rekomendasi toko yg jual hp pixel yg imei resmi dong,2024-11-14T16:55:31Z,0,Google Pixel 9,Google,Flagship,2024
@blacklook_,tapi klo diamati lebih jeli font default nya mirip mirip khas samsung,2024-11-13T16:02:27Z,0,Google Pixel 9,Google,Flagship,2024
@ariefendi2409,TAPI TAMPILAN DALAMNYA MASI SAJA KEINGET HPI THN 13AN😅,2024-11-12T16:18:24Z,0,Google Pixel 9,Google,Flagship,2024
@DISCOBOXING,Keren,2024-11-12T05:51:08Z,0,Google Pixel 9,Google,Flagship,2024
@jdbrvlog6934,Ngehe lah pajak di indoooo..,2024-11-11T21:26:46Z,0,Google Pixel 9,Google,Flagship,2024
@indrayadi4303,"Bgus mna versi 9 pro fold, apa sama??",2024-11-11T11:21:22Z,0,Google Pixel 9,Google,Flagship,2024
@tfkroham4200,Beli di mana ya hp pixel yang jualan di indo,2024-11-11T00:04:58Z,0,Google Pixel 9,Google,Flagship,2024
@eparsday,Kapan ya beli itu huhu,2024-11-09T18:13:31Z,0,Google Pixel 9,Google,Flagship,2024
@setotriyuwono8432,hp google pixel ini resmi indo gak si?,2024-11-09T08:40:21Z,0,Google Pixel 9,Google,Flagship,2024
@teguhchristiyono2709,Info harga,2024-11-09T04:16:38Z,0,Google Pixel 9,Google,Flagship,2024
@saifannur6392,Belinya dimana bg,2024-11-09T03:41:24Z,0,Google Pixel 9,Google,Flagship,2024
@DiniSalam-q5f,beli dimana bang,2024-11-06T21:32:10Z,0,Google Pixel 9,Google,Flagship,2024
@chrisprawiro,Mirip s10 Samsung bukan iphone hadeh,2024-11-06T15:59:13Z,0,Google Pixel 9,Google,Flagship,2024
@shinchanoriorio6246,"Dari iphone 8, enakan 16 apa gopix 9pro ya?
kebutuhan untuk jangka lama ya. kebutuhan cuma scrol sosmed aja sama yang penting butuh untuk dipakai lama",2024-11-05T09:05:47Z,0,Google Pixel 9,Google,Flagship,2024
@k-popmostaccuratelist5908,ilegal ini tangkap!,2024-11-04T23:45:21Z,0,Google Pixel 9,Google,Flagship,2024
@zky2903,Pixel 6 kalau untuk sekarang masih bagus atau gimana bang?? Mohon saranya,2024-11-03T00:09:01Z,1,Google Pixel 9,Google,Flagship,2024
@dowsutt,1 like 1 mobil,2024-11-02T06:51:47Z,1,Google Pixel 9,Google,Flagship,2024
@yanapermana8963,Hp yg saya inginkan nih spek nya gahar2 design juga lain dari yg lain,2024-10-31T12:35:07Z,0,Google Pixel 9,Google,Flagship,2024
@JTraviss,13:03 woi bangun woi!!!,2024-10-31T12:14:43Z,0,Google Pixel 9,Google,Flagship,2024
@rhinogattuso7744,1 like = Sejuta Rupiah.,2024-10-30T13:31:15Z,0,Google Pixel 9,Google,Flagship,2024
@linggommartin3916,"Bang,kasih hp mu 1 aja sama ku kenapa bang🤣🤣",2024-10-30T05:10:15Z,0,Google Pixel 9,Google,Flagship,2024
@ThanosOfficial-g8z,"malam mas, maaf baru mengikuti😅
mau minta saran dong enaknya ambil pixel berapa ya yg rekomendasi apakah pixel 8,7 atau 6?",2024-10-27T18:18:29Z,1,Google Pixel 9,Google,Flagship,2024
@Suherdinar999,"Gw sebagai user pixel 6 pro emang gaada obat hasil jepretannya gokil parahh,pas liat launching pixel 9 ingin rasanya upgrade tp liat sikon dompet 😭😭",2024-10-27T14:16:31Z,0,Google Pixel 9,Google,Flagship,2024
@eriksmart6432,Bang mau dong 1 hp nya,2024-10-26T23:10:53Z,1,Google Pixel 9,Google,Flagship,2024
@imyos_1146,gw sekarang pakai pixel 8 pro,2024-10-26T12:26:57Z,0,Google Pixel 9,Google,Flagship,2024
@MasBiim,Rekomen toko yg jual resmi di indo please,2024-10-24T15:27:47Z,0,Google Pixel 9,Google,Flagship,2024
@iyonn-g3n,Di toped ada yang jual ga bang,2024-10-24T02:07:57Z,0,Google Pixel 9,Google,Flagship,2024
@kisahsangpendosa7303,.,2024-10-23T18:36:21Z,0,Google Pixel 9,Google,Flagship,2024
@reresandopal7465,"Di indonesia kalo beli google pixel dimana?
Aku belum pernah pake android , pengen upgrade dari ios ke android tapi mau nya pixel tapi aku gapernah nemu 
Ada yg bisa rekomendasi?",2024-10-23T17:20:31Z,0,Google Pixel 9,Google,Flagship,2024
@image3149,Hp impian,2024-10-23T12:11:54Z,0,Google Pixel 9,Google,Flagship,2024
@techiestudy,wkwkwk aura ikbal diroasting bang david,2024-10-22T14:44:38Z,0,Google Pixel 9,Google,Flagship,2024
@BegitulahManusia,Rumor hp paling safety enkripai nya .aman,2024-10-22T06:12:27Z,0,Google Pixel 9,Google,Flagship,2024
@MiftahulKhairAgribisnis1B,"19:43 ""Unboxing barang Iqbal""😀",2024-10-21T08:46:22Z,0,Google Pixel 9,Google,Flagship,2024
@lintangnova,pengen bgt yg peony belinya dimana kalo di indo yg terpercaya huhuhu ada yg tau drop link boleh?,2024-10-21T04:06:27Z,0,Google Pixel 9,Google,Flagship,2024
@xchocolateerei28x,Mau dong pixel 9 pro xl nya wkwk,2024-10-20T13:56:46Z,0,Google Pixel 9,Google,Flagship,2024
@korronk2848,"Iphone tenggelam donk bang, beli di mana pixel itu bang? Ada ngga di indonesia?",2024-10-20T10:03:54Z,0,Google Pixel 9,Google,Flagship,2024
@antonikovaja236,E-sim itu gimana sih mksdnya cara kerja nya?,2024-10-20T03:06:54Z,0,Google Pixel 9,Google,Flagship,2024
@kangdafa,"Px 5 ngiler nih,kapan bisa ke bli yah,mungkin klo dh 3jt scon nya😂😂😂😂biasa kamu sulit",2024-10-19T13:43:52Z,0,Google Pixel 9,Google,Flagship,2024
@Cream-p3n,Di hp pixel lah kalian bakal menyadari antutu itu cuma angka,2024-10-19T06:10:17Z,0,Google Pixel 9,Google,Flagship,2024
@AdlinaNurSabrina,Info beli google pixel dmn ya?,2024-10-17T08:56:01Z,0,Google Pixel 9,Google,Flagship,2024
@yakabay,"ini yg di suka dari google pixel, beda dari yg lain tapi tetap cakep desain kameranya, tapo fitur kameranya lebih bagus kalo pake tripod sih kyknya soalnya kalo megang langsung pasti getar",2024-10-17T05:03:56Z,0,Google Pixel 9,Google,Flagship,2024
@sitinurazizah5589,Saya kerja di Jepang kalo beli HP google pixel 9 bakal kena bea cukai semisal pulang ke indo?,2024-10-14T11:29:28Z,0,Google Pixel 9,Google,Flagship,2024
@jevandannu462,"pas lagu wik wika diplay, reflek sebut ""absen aku bang""",2024-10-14T07:33:08Z,0,Google Pixel 9,Google,Flagship,2024
@heahonhe,Masih stay di pixel 6a 😂,2024-10-11T09:29:23Z,0,Google Pixel 9,Google,Flagship,2024
@hamdani_dani2516,Nonton pake Oppo a54 mudah mudahan bisa beli iPhone 15 pro aja deeh yang 256 doa in ajah 🎉🤲,2024-10-10T13:24:31Z,0,Google Pixel 9,Google,Flagship,2024
@Serra-nz3lx,Kayaknya kalo gw beli ini gw beli casing desain Among us kali yak😂😂😂,2024-10-10T10:49:10Z,0,Google Pixel 9,Google,Flagship,2024
@faizhmdnii,HP Idaman Gopix 2XL Ajah Udah Mantep Hasil Video/Fotonya Apalagi Ini Bekhhh Gak Ada Obat Dah 😁,2024-10-10T09:00:39Z,0,Google Pixel 9,Google,Flagship,2024
@GendehGroup,Beli nya dmn ini bang.. di indo blm ada yak,2024-10-09T04:30:34Z,0,Google Pixel 9,Google,Flagship,2024
@JakwirSaklawase-ec8hn,Kalo mau beli hp Gopix yg sinyal permanent dimana sih bang?? Adakah link nya,2024-10-08T11:27:08Z,0,Google Pixel 9,Google,Flagship,2024
@RedmiSepuluh-g1b,"Udh lama g liat chnel ini, liat David makin kurus 😢",2024-10-07T22:25:24Z,0,Google Pixel 9,Google,Flagship,2024
@ContentCreatif,Udh lebih 2 Minggu mana riview lengkap nya bsng...fullll,2024-10-07T17:19:11Z,0,Google Pixel 9,Google,Flagship,2024
@m.raihanputrapratama3041,modal hp infinix+rom evolution x= jadi dah kek gini😅😊,2024-10-07T12:14:49Z,0,Google Pixel 9,Google,Flagship,2024
@haahaaah4928,"Mau apapun itu UI android dari macem² brand, tetap nggk ada yg bisa ngalahin sexy nya stock UI android 😀 apalagi android 12 ke atas 👍",2024-10-07T06:28:33Z,0,Google Pixel 9,Google,Flagship,2024
@asrulismail837,"Bang, bisa minta tolong spill link tempat beli hp google pixel bekas yang masih bagus dong",2024-10-06T14:34:33Z,0,Google Pixel 9,Google,Flagship,2024
@edniskandar,Linknya om,2024-10-06T09:23:53Z,0,Google Pixel 9,Google,Flagship,2024
@produkpurbalingga1916,"Aduh kapan bisa pake hp sebagus itu, ini aja pake asus max pro m2 padahal hp dah lama banget",2024-10-06T09:05:43Z,0,Google Pixel 9,Google,Flagship,2024
@rustofficial2658,Kameranya cocok buat kaum introvert,2024-10-06T01:45:29Z,0,Google Pixel 9,Google,Flagship,2024
@d.cahyonugroho5950,Bagus cm... Mihilllll,2024-10-05T09:08:51Z,0,Google Pixel 9,Google,Flagship,2024
@TentangIni,Ya allah... Hp impian. Alhamdulillah kebelinya pixel 7 . Semoga kebeli dah,2024-10-04T06:06:56Z,7,Google Pixel 9,Google,Flagship,2024
@saga5098,thun depan semoga bisa kebeli yg fold...,2024-10-03T15:50:25Z,0,Google Pixel 9,Google,Flagship,2024
@Arifgringging,"Ko kenapa hp terbaru keluar di malasia dulu baru indonesia, bahkan gopix gak masuk di indo mungkin bisa di bahas.",2024-10-03T14:00:07Z,0,Google Pixel 9,Google,Flagship,2024
@gustam6969,😁,2024-10-02T18:51:02Z,0,Google Pixel 9,Google,Flagship,2024
@diffadiffoaljabardifa5243,bang info toko buat beli google pixel dimana.. ?,2024-10-02T03:58:44Z,0,Google Pixel 9,Google,Flagship,2024
@anashchan4548,6:22 😂,2024-10-01T09:54:29Z,0,Google Pixel 9,Google,Flagship,2024
@anashchan4548,Smarthphone impian setelah xperia ❤,2024-10-01T09:48:58Z,0,Google Pixel 9,Google,Flagship,2024
@abdulhiroshi,david nama lengkap  .....DAVID  DISINI  .......🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪,2024-10-01T06:47:32Z,0,Google Pixel 9,Google,Flagship,2024
@rsmsnn8649,"pake pixel 4 masih bagus bgt, apalagi pixel 9!😩",2024-10-01T02:05:37Z,0,Google Pixel 9,Google,Flagship,2024
@Dwnggaprtmaa,Ini resmi masuk indo kah?,2024-10-01T01:07:10Z,0,Google Pixel 9,Google,Flagship,2024
@syahrilsdx,Info custom rom buat x3nfc 😂,2024-09-27T13:24:55Z,0,Google Pixel 9,Google,Flagship,2024
@bryanputra9379,kabel nya beli dimaja bg moga di jawab😅,2024-09-27T10:35:07Z,0,Google Pixel 9,Google,Flagship,2024
@musicpelarian,"🗣️ user iphone : kamera android burik !

🗣️ teampixel : 🤭🤭🤭😂😂",2024-09-26T06:51:38Z,1,Google Pixel 9,Google,Flagship,2024
@Msarirrr,User ios yang pindah ke pixel❤,2024-09-25T09:21:44Z,0,Google Pixel 9,Google,Flagship,2024
@adimasariefrahman8555,"Apapun hape nya, sounds nya tetap safe and sound windah 🗿🗿",2024-09-23T17:15:01Z,0,Google Pixel 9,Google,Flagship,2024
@chalrist,Google yg ga sperti lainnya yg serba gratisss.  Ini over prices,2024-09-23T10:22:53Z,0,Google Pixel 9,Google,Flagship,2024
