author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date
@firstudys,"Kerennn perpindahan lensanya kayak iPhone,sumpah gila si ini😭😭😭",2024-11-16T14:37:36Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,"September 10, 2024"
@EthanHadiyan,Harusnya antutunya 3juta lah. Masa cuma 700an sih,2024-11-16T12:57:38Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,"September 10, 2024"
@LuqmanHakim-j6u,$5000,2024-11-15T09:17:14Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,"September 10, 2024"
@GregoLeftungun-ol6lc,Mending Vivo x100 kameranya beda jau vivo di atas,2024-11-14T08:15:10Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,"September 10, 2024"
@d3strac00l,terbaik emg chanel ini the one and only,2024-11-13T08:50:22Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,"September 10, 2024"
@fndgabut1704,huh,2024-11-12T17:02:49Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,"September 10, 2024"
@AndriSetiawan-t7j,Gak pengin sama sekali ama hp lipat,2024-11-11T19:56:34Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,"September 10, 2024"
@kusharjanti5531,Ini udah nyampe di Indonesia belum kak Dhiar,2024-11-11T08:06:30Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,"September 10, 2024"
@Al-Maduri,Bagi gua satu aja bang😢😢😢,2024-11-11T01:08:56Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,"September 10, 2024"
@WiliSakimah,haha keren,2024-11-10T15:14:11Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,"September 10, 2024"
@risyanchanel7803,"keren,,aku ngebayangin batrei nya setipis kartu nama",2024-11-09T03:59:17Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,"September 10, 2024"
@alishlahputro9084,Setingan kamera studionya bang.....,2024-11-07T22:41:34Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,"September 10, 2024"
@marvelgraphicsstyle4552,Wawei memang nggak ada matinya 🎉😎,2024-11-07T20:45:06Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,"September 10, 2024"
@JUNIORTOGEL,KNTL IKLAN KURANGIN BAB*,2024-11-07T19:54:47Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,"September 10, 2024"
@zainulhasan4971,15.23 lebih suka dikasih sih om😂,2024-11-07T08:11:21Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,"September 10, 2024"
@muhammadalwidman8677,"Bayangin aja klu pakai SOC dimensity 8000 atau Snapdragon terbaru yang kena skandal. Betapa op Huawei Mate XT Ultimate. Semua brand lewat ibarat disaat bran lain masih di bulan, sementara Huawei dah di galaxy Andromeda 😂",2024-11-07T01:35:46Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,"September 10, 2024"
@MemetJamet-l1g,Bang review XIAOMI MI MIX ALPHA DONG PLEASE🔥🔥🔥🔥🔥🔥😭😭,2024-11-06T18:10:13Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,"September 10, 2024"
@suhendarcepta9028,Ketemu bang dhiar nanti sy minta hp lah😊,2024-11-06T17:26:10Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,"September 10, 2024"
@kangmasryanwijaya104,Kalok camere kurang ahh,2024-11-06T10:57:38Z,0,Huawei Mate XT Ultimate,Huawei,Flagship,"September 10, 2024"
