author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date
@AlanSouzGoms,Awesome!!! ❤ Love Huawei From Brazil!,2024-08-14T15:29:27Z,1,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@atilak.3593,Awesome,2024-08-05T13:03:47Z,2,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@MohdFirdaus-lk2dm,Awesome 👍,2024-08-02T03:06:38Z,3,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@elbowstancenow1519,'Wahvei',2024-08-09T17:55:35Z,0,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@littlefeetvampire,If u r making flip phones make like the 2000-2010 era,2024-08-07T16:32:57Z,0,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@HarleyJaneMasbad-u2z,🎉,2024-08-01T16:00:21Z,0,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@yorukanna3810,"Never comparing huawei with other Chinese phone manufacturers. Huawei is above them all. Tech, quality, RnD, and much more. I used huawei flagship many times and compared to oppo. That's really different. Huawei has great user experience, smoother touch, battery reliability, mature software. Everything that installed on huawei device, that's must be smooth and running fast.",2024-08-01T06:14:43Z,2,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@SevincAlieva-yt8me,Good Samsung idea,2024-07-31T11:46:10Z,0,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@HannanH-xo1el,Huawei 🖤,2024-07-31T02:43:37Z,0,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@RoshanKandel-s6w,6 hours still 98 likes what are you doing guys. 😢 Do follow this guy and appreciate his efforts and keep supporting.,2024-07-30T22:40:22Z,6,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@Ell-mucho,Top Notch innovative company,2024-07-30T22:36:47Z,0,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@dinmuhammadmandizay8991,New Great design ❤❤❤,2024-07-30T17:40:18Z,1,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@marvinbavarian3236,Ow yea ❤,2024-07-30T17:04:58Z,0,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@manolexing68,A phone that​ seems​ to cater more on the​ feminine side.  That's​ what come​s to mind.  Just​ an opinion 😊.,2024-07-30T16:58:07Z,0,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@Maahi381,Looks Beautiful,2024-07-30T16:44:38Z,1,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@arupazluckystrike7254,Interesting,2024-07-30T15:54:04Z,3,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@mrwest4616,This Commercial Sucks 👎👎👎,2024-08-01T15:02:19Z,1,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@farooq44444,"👎👎👎
سامسونج وصلت انها تجعل الجزء الخارجي شاشه
وانت جعلت الجزء الخارجي فقط ساعة وسعيد بهذا وبإغلاق الجهاز تيت تيت تيت",2024-07-30T14:12:03Z,0,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@harlowhalo,ha......Huawei? who will use Huawei! No more made in China!!!,2024-07-29T22:05:48Z,0,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@MohmmeadEid,😮,2024-07-29T18:16:22Z,1,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@TheFhantazy,I hope this come to indoensia.,2024-07-29T14:22:23Z,1,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@Tschernomor,Let's hope it'll be under 600$,2024-07-29T13:58:35Z,1,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@karma2023,Hope mid range and below 180$ 😁,2024-07-29T11:04:55Z,1,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@tahahorasanli,"Translation of morse code: ""FLIP""",2024-07-29T09:06:38Z,10,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@MohdFirdaus-lk2dm,1st 👍,2024-07-29T02:49:04Z,1,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@honor_lover,"As a past Nova 9 user, I admire the Nova Flip",2024-07-29T02:15:19Z,7,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@nickoguardiana3169,Nice phone,2024-08-13T11:45:22Z,0,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@DostonbekErkinov-sg8yp,PLEASE GIFT ME THIS PHONE 😢,2024-07-31T04:11:45Z,1,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@citybleutanger,Huawei my love❤🎉,2024-09-12T17:31:25Z,0,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@qasimalsaidi,Fla... and cla... WHAT?,2024-08-09T14:00:31Z,0,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@MohdFirdaus-lk2dm,💯👍,2024-08-09T13:33:13Z,0,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@NFL-ro5wy,First ❤️👍,2024-08-09T12:41:07Z,0,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@ljacobs357,Z Flip 6 looks more natural.,2024-07-31T13:07:01Z,2,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
@ArtistHere-c6h,Nova literally is best phone flip ever,2024-07-30T18:33:31Z,3,Huawei Nova Flip,Huawei,Mid-Range,"August 5, 2024"
