author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date
@iTechNews101,"Hi everyone, Let me share with you more informations about Huawei Pura 70 Series:
There's just one difference between Huawei Pura 70 Pro and Pro+ which is the storage capacity: The Huawei Pura 70 Pro+ available with 512GB 16GB RAM, 1TB 16GB RAM 
The Huawei Pura 70 Pro have 256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM

The Kirin 9010 processor achieved a single-core score of 1,442 and a multi-core score of 4,471 on Geekbench, a cross-platform benchmarking tool used to measure and compare the performance of CPUs and GPUs across various computing devices. For comparison, the iPhone 12 Pro obtained a single-core score of 2,101 and a multi-core score of 4,936 on Geekbench.
the Kirin 9010 SoC apparently brings Snapdragon 8 Gen 1 levels of performance!

In terms of pricing, the Ultra model comes in two storage variants: 16GB + 512GB priced at RMB 9,999 ($1,382), and 16GB + 1TB priced at RMB 10,999 ($1,520). The Pro model is available in three versions: 12GB + 256GB priced at RMB 6,499 ($898), 12GB + 512GB priced at RMB 6,999 ($967), and 12GB + 1TB priced at RMB 7,999 ($1,105). 

For the Context: The Huawei P series was rebranded as the Huawei Pura range on Monday, with the Pura 70 series becoming the first device under the new name. Huawei did not explain the meaning of Pura. However, “Pura” in Spanish translates to “pure” or “clean”, and it can also mean “genuine” or “true” in certain contexts.",2024-04-22T11:23:43Z,19,Huawei Pura 70,Huawei,Flagship,"April 18, 2024"
@Hing.Dickson,"Why description abt battery from aliexpress was 8000mah and your video show 5000mah +++++ & have SD memory slot provided,  dimension 9300+, is Android 14, 
Why is so different , which is fraud item ... 😯😯😯",2024-11-14T03:01:06Z,0,Huawei Pura 70,Huawei,Flagship,"April 18, 2024"
@ffme4939,Very good Video,2024-11-05T03:09:53Z,0,Huawei Pura 70,Huawei,Flagship,"April 18, 2024"
@muhammadtofazzolhossain.8346,Thanks for good information ❤,2024-10-20T07:03:12Z,0,Huawei Pura 70,Huawei,Flagship,"April 18, 2024"
@sayfulkingdomofsaudiarabia655,This 5g,2024-10-14T01:46:35Z,0,Huawei Pura 70,Huawei,Flagship,"April 18, 2024"
@BarbaraMartinez-e8y,Abshire Streets,2024-10-08T22:56:51Z,0,Huawei Pura 70,Huawei,Flagship,"April 18, 2024"
@Furniturejogot,❤❤,2024-10-03T02:21:10Z,0,Huawei Pura 70,Huawei,Flagship,"April 18, 2024"
@Naiftv-52,"I wish, i could buy it.. almost the same all unit..",2024-09-17T01:20:55Z,1,Huawei Pura 70,Huawei,Flagship,"April 18, 2024"
@grzegorzfiturski3713,"which phone would you choose, huawei pura 70 or huawei p60 pro?",2024-08-21T14:43:08Z,1,Huawei Pura 70,Huawei,Flagship,"April 18, 2024"
@jasonjaplos4914,nice content 👍,2024-08-15T04:08:23Z,1,Huawei Pura 70,Huawei,Flagship,"April 18, 2024"
@bl4ckywolf,Actually the max video rec is 4k60 not 30.,2024-08-12T17:34:41Z,1,Huawei Pura 70,Huawei,Flagship,"April 18, 2024"
@HusanboyAbdurahmonov-x1z,❤❤,2024-08-06T20:00:40Z,0,Huawei Pura 70,Huawei,Flagship,"April 18, 2024"
@mdspjibjon5094,Huawei 👍👍👍👍👍👍❤🇧🇩,2024-08-05T07:32:34Z,2,Huawei Pura 70,Huawei,Flagship,"April 18, 2024"
@banu305,The cpu not nice,2024-07-21T02:32:34Z,0,Huawei Pura 70,Huawei,Flagship,"April 18, 2024"
@khushalmeena4378,"Nice , very good, osm plzzzzz  Huawei pura 70pro  for giveaway I really like huawei plzzzz",2024-07-19T20:44:03Z,0,Huawei Pura 70,Huawei,Flagship,"April 18, 2024"
@MystoganGame,Pura 70 pro almayı düşünüyorum. Fiyat performans açısından ultraya göre daha iyi gibi geliyor. Kullananlar var mı hangisini önerirsiniz. Batarya oyun ve kamera açısından düşününce?,2024-07-15T11:47:01Z,0,Huawei Pura 70,Huawei,Flagship,"April 18, 2024"
@khunooy9,I bought Pura  70 Ultra on 9 july 20,2024-07-12T06:28:25Z,1,Huawei Pura 70,Huawei,Flagship,"April 18, 2024"
@АлександрБурмин-р6л,Huawei👍рувок в будущее😊,2024-07-06T20:13:53Z,1,Huawei Pura 70,Huawei,Flagship,"April 18, 2024"
@Its_rouzixxi,"Hello bro. So what advice can u give me - to get just pura or pura 70 pro? I think the difference between them doesn't cost the money they cost, does it?",2024-07-05T14:05:27Z,3,Huawei Pura 70,Huawei,Flagship,"April 18, 2024"
@happyalom9652,1.380 dollar really,2024-06-22T07:13:59Z,0,Huawei Pura 70,Huawei,Flagship,"April 18, 2024"
@rhinebinj.9943,Is it really a 5g or a 4g phone?.,2024-06-19T06:51:18Z,0,Huawei Pura 70,Huawei,Flagship,"April 18, 2024"
@peterwan816,"all, thanks for the detailed info!",2024-06-15T15:16:01Z,0,Huawei Pura 70,Huawei,Flagship,"April 18, 2024"
