author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date
@rinzia2346,"batre 5000 mah kerasa kurang awet ga sih di hp ini.12nm harusnya efisiensi daya cukup awet.
dan kerasa anget kalo dipake jangka lebih dr 30 menit,apa karena jenis batre tipe Li ion",2024-10-23T05:11:29Z,0,Tecno Spark 20C,Tecno,Entry-Level,January 2024
@buyungbuyung2534,Pokok......... Audio saat ini  🤔🤔✍️✍️,2024-09-17T10:26:50Z,0,Tecno Spark 20C,Tecno,Entry-Level,January 2024
@HABIIBURRAHMAAN,"Info ya kawan2,telefon ini tidak bagus untuk gaming karena chipsetnya Helio G36",2024-07-15T11:57:32Z,7,Tecno Spark 20C,Tecno,Entry-Level,January 2024
@BangMamat-jm1cz,DEMI TUHAN AKU MENYESAL BELI TECNO SPARK 20.c....JANGAN SAMPAY KALIAN JADI KORBAN,2024-07-15T10:15:51Z,10,Tecno Spark 20C,Tecno,Entry-Level,January 2024
@donypras6150,"Bosssss
Utk spek yg d about phone sm yg aplikasi tecno mini kok ada perbedaan camear dpn sm prosesornya yg bnr yg mn y
Coba bandingkan saja kalau gk percaya",2024-06-27T13:17:23Z,0,Tecno Spark 20C,Tecno,Entry-Level,January 2024
@ayammatie5835,Bukan 900 ribuan,2024-06-23T04:35:00Z,1,Tecno Spark 20C,Tecno,Entry-Level,January 2024
@minpetir8799,yg saya rasain kok batre lumayan boros ya.ap cuma punya ku aj ap sma dengan yg laen.shering dong ad yg sma gk.,2024-06-16T01:23:44Z,1,Tecno Spark 20C,Tecno,Entry-Level,January 2024
@andreashs3293,"Kak mau tanya dong.
Lebih recomen mana klo di banding sama itel a70?",2024-06-14T18:25:26Z,0,Tecno Spark 20C,Tecno,Entry-Level,January 2024
@AnugrahBintang-yb3bg,Punyaku kok gx ada tulisan NFC bagian depan box nya...apa beda harga ya....,2024-06-13T12:29:58Z,2,Tecno Spark 20C,Tecno,Entry-Level,January 2024
@Yesika-pc4id,Baru beli lancar sih bagus murah kamera jernih tpi nangkap jaringan agak ngeleg,2024-06-10T22:23:27Z,2,Tecno Spark 20C,Tecno,Entry-Level,January 2024
@alka_12345,Buat wa sosmed YouTubeban kayanya oke.. ngegame jarang,2024-06-10T07:21:34Z,0,Tecno Spark 20C,Tecno,Entry-Level,January 2024
@Rizalll-ru8tt,Akuu makek Tecno 20c NII Alhamdulillah lancar etah kedepannya,2024-04-23T16:21:32Z,4,Tecno Spark 20C,Tecno,Entry-Level,January 2024
@rosantieka5873,"Kak, nge-charge-nya emang lama atau punyaku aja? Bisa sampe 4 jam lebih",2024-04-21T10:17:56Z,1,Tecno Spark 20C,Tecno,Entry-Level,January 2024
@nopellondong4184,kuat nangkap jaringan kh,2024-04-19T23:48:27Z,1,Tecno Spark 20C,Tecno,Entry-Level,January 2024
@ghoibcahaya7,keren,2024-04-11T06:06:11Z,1,Tecno Spark 20C,Tecno,Entry-Level,January 2024
@sandikurniadi2649,Bisa buat jangka panjang ga bg?,2024-04-05T12:36:28Z,2,Tecno Spark 20C,Tecno,Entry-Level,January 2024
@SudarjaOglex-r3v,Top number one 👍👍👍,2024-04-02T13:29:22Z,0,Tecno Spark 20C,Tecno,Entry-Level,January 2024
@wongkhamfung74,"intinya ponsel ini LAYAK,,,buat kerja harian normal kan,,,,tertarik sih,,,thx atas ulasannya,,,Minn,,,,,,,Sukses yaa😊",2024-04-02T08:55:50Z,3,Tecno Spark 20C,Tecno,Entry-Level,January 2024
@NovianNoorHidayah-jm8jt,"Hai, mungkin ada yg mau bantu jelasin fungsi dari kamera belakang (bagian bawah) dari Tecno Spark 20c? Soalnya aku tutupin tetep bisa kelihatan. Mungkin teman2 ada yg tau fungsi sebenarnya? Terima kasih.",2024-02-24T08:14:59Z,6,Tecno Spark 20C,Tecno,Entry-Level,January 2024
@JackAmbatukam,HPnya ngeleg njir bagus infinix smart 8 niat beliin buat adek padahal,2024-02-22T12:25:43Z,8,Tecno Spark 20C,Tecno,Entry-Level,January 2024
@donatazkiya4109,Hasil kamera kondisi malamnya bagaimana,2024-01-19T02:17:12Z,12,Tecno Spark 20C,Tecno,Entry-Level,January 2024
@syafitrisyarieef7941,"Hallo Kak !😊✨

Kenalin, aku Syafitri dari Brand PX Indonesia,
Mau ajak Kerja sama ada kontak yg bisa di hubungi??",2024-01-04T09:36:11Z,2,Tecno Spark 20C,Tecno,Entry-Level,January 2024
@IffanRiffa,Waw gw main GTA San pake Tecno spark 20c,2024-11-15T11:30:14Z,0,Tecno Spark 20C,Tecno,Entry-Level,January 2024
@azrielpranaja8695,Sebenarnya soal harga semua hp transholding itu sudah wajar dan jujur karena merk belum seterkenal brand raksasa lainnya kalau brand raksasa lainnya menurut ku untuk harga sangat overprice padahal suku cadang pembuatan smartphone tidak mungkin semahal itu contohnya iPhone semua karena soal pamor brand aja,2024-11-14T06:45:05Z,0,Tecno Spark 20C,Tecno,Entry-Level,January 2024
@WahyuuSaputra-c9x,Punya saya tecno spark 20c dah 2 tahun aman aja gk ngeleg kaya yg di konten bilang minus jelek,2024-11-05T15:12:50Z,0,Tecno Spark 20C,Tecno,Entry-Level,January 2024
@Danish-o4w,Nonton pake tecno 20c😅,2024-11-05T12:09:25Z,0,Tecno Spark 20C,Tecno,Entry-Level,January 2024
@LiriklaguKu-x8s,"Bang kok punya ku g ada fitur nfc nya, solusinya dongssss...",2024-11-04T10:29:48Z,0,Tecno Spark 20C,Tecno,Entry-Level,January 2024
@ninhakurniawan2826,"Kalo ini sma infinix smart 9 mending mana ya, mau beli buat anak yg doyan donlot game🤔🙏🏻🙏🏻",2024-10-11T13:48:31Z,0,Tecno Spark 20C,Tecno,Entry-Level,January 2024
@ifulmahfudi6710,"Kalau buat ngrekam agak lama
Semisal ngrekam di jalanan di buat konten
Apakah aman bang",2024-10-09T22:06:44Z,1,Tecno Spark 20C,Tecno,Entry-Level,January 2024
@zaenalmut2307,Buat jangka panjangbbagus gk ya?,2024-10-07T12:19:17Z,0,Tecno Spark 20C,Tecno,Entry-Level,January 2024
@blueskyland,layar nya di bawa matahari masih kelihatan gak?,2024-10-05T19:41:02Z,0,Tecno Spark 20C,Tecno,Entry-Level,January 2024
@salsabila-azka4466,"Mau beliin anak buat youtube an sama game game ringan, mending Vivo y02t atau Tecno spark 20c?",2024-09-24T22:49:59Z,0,Tecno Spark 20C,Tecno,Entry-Level,January 2024
