author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date
@Koral-ahh,orang orang concern amat yak ama bentuk kamera. kalo gw sih ga terlalu ya. paling berapa detik sih kita mandangin belakang kamera,2024-11-17T04:03:12Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024
@inanana1654,bang kalo test kamera coba tempat lain dong jgn monoton mulu😅,2024-11-17T03:42:40Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024
@V-Cry.REVOLUTION,"Nonton pake redmi note 12 pro
Minus pemakaian fullset 2jt nego",2024-11-16T19:54:11Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024
@WandyMH44,"Kenapa Xiaomi klo pas hp nya panas buka kamera nge lag2😂, hasil video pun patah patah😭",2024-11-15T23:58:08Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024
@dar2,"Bang, kalau hp midrange 5-6 jutaan yang paling bagus buat rekam video/vlogging apa ya bang (dengan kamera blkg)? Rata2 saya lihat banyak jitter/getaran terutama kalau kamera lagi panning ke samping. Kalau rekamnya di 1080p apakah jauh lebih stabil?",2024-11-15T08:55:32Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024
@SahatNainggolan-i5l,"Ini hp ada bypass charging gak sih,, aku cari2 di setting kok ga Nemu. Biar nyaman aja main game sambil ngecas.",2024-11-15T02:21:11Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024
@muda110592,"Serius nanya, mending ini atau POCO F6? lg galau antara 2 ini 😢",2024-11-14T17:53:59Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024
@prisnrev5265,"Saya tadi baca komen ada yg tanya apakah 14T cocok buat nonton film, youtube, netflix, instagram, dan tiktok,  
nah itulah mayoritas pengguna Hp adalah orang awam,,, kalo cuma penggunaan di atas ngapain beli 14T ,,,, cukup beli aja redmi 14C yg harga 1 jutaan yg walaupun spek nya cukupan (  8/256 ) tapi hal lain nya teknologi rendah ( prosesor 12 nm,  ram DDR4x,, memory internal cuma jenis emmc 5.1 dan kamera juga standar gak istimewa).

kalo cuma pemakaian ringan gitu ya gak perlu beli 14T yg mahal, cukup beli HP 1 jutaan aja yakni 14C 
worth it lah kan sama sama angka 14, cuma beda nya huruf T di ganti C, tapi beda di kata depan, xiaomi 14T dan Redmi 14C, 
jadi cukup beli redmi 14 C ( poco C75) atau pilih Redmi 13c ( poco c65 )= serba 1,5 jutaan.
Xiaomi 14 T itu kan kelas semi flagship,,, kamera unggul dan chipset unggul ( 4 nm prosesor,  Ram DDR 5x, dan memory jenis UTS 4.0 , meski bukan yg terunggul ( belum pabrikasi 3nm), jadi 14 T itu buat hobi fotografi dan game enthusiast,, nah kalo cuma hal ringan yg sudah di sebutkan di atas itu terlalu berlebihan kalo beli 14T,,, cukup redmi 14C atau 13C,, tapi maklum orang pada awam,, jadi mau nya beli 14T aja ya terserah kalo duit banyak.

Sedangkan saya lain lagi, mau beli poco m6 pro dgn alasan itu HP gorilla glass 5 termurah ( 2,7 juta) daripada Redmi Note 13 pro yg sma punya gorila glass 5 tapi mahal ( versi 4 G = 3,5 jt, dan versi 5G = 4 juta).
Itu calon HP pengganti redmi note 10 5G ( pelindung layar gorilla glass 3) yang setelah jatuh puluhan kali selama dua tahun akhirnya RETAK juga kaca nya meski LCD gak kena. Makanya saya ogah beli HP gorilla glass 3 lagi,,,yakni redmi note 13 ( tanpa pro) cuma gorilla glass 3,  NO worth it to buy
data : 
- Gorilla glass 3 maksimal ketinggian jatuh = 1 meter,  
- Gorilla glass 5 maksimal ketinggian jatuh 1,2 meter, 
- Gorilla glass 6 maksimal ketinggian jatuh 1,6 meter
- Gorilla glass victus maksimal ketinggian jatuh 2 meter.
Sedangkan kekuatan anti goresan ( Scratch) antara keempat jenis itu SAMA, beda nya ketahanan jatuh nya di ketinggian yg lebih tinggi untuk jenis gorila glass yg lebih mahal
 Makanya HP merk Infinix, techno dan Itel, semua itu Gak Akan Pernah masuk daftar pembelian saya karena cuma Hp gimmick,,tanpa pelindung layar,,, kalo cuma temper glass yg di pasang tukang konter HP itu mubazir malah mengurangi kenyamanan alias sensitivitas sentuh kurang respon.
Si Finix alias Kingfinix ( sebutan oleh fans buta nya) itu ada kabar katanya GPS langsung error ketika Hp jatuh, dan jangan kan kaca nya malah LCD nya pun ikut rusak ketika jatuh.Tapi masih ada aja fans buta nya kingfinix dan gerombolan nya ( Itel, Techno) yg tetap aja di beli. Mereka gak tau bahwa Hp abal abal itu meski gembar gembor spek lumayan tinggi buat gamer tapi Gak Di sadari bahwa Hp gimmick itu sangat minim perangkat pendinginan internal nya ( bukan fan atau blower external) maka pasti seiring kenaikan suhu dan pemakaian terus menerus di pasti kan umur Hp gak bertahan lama,,, mungkin di bawah satu tahun sudah MATOT.",2024-11-13T18:51:18Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024
@prisnrev5265,"WAJAR lah lubang Jack 3,5 mm di hilangkan, kan ini HP flagship itu IP68 alias tahan rembesan air untuk kedalaman 1,5 meter selama 30 memit,,, jadi logika nya kalo ada itu lubang Jack audio malah HP jadi rusak kemasukan air.
ok jadi harus cerdas kalo mau mau komplen( komplen jack audio gak ada)",2024-11-13T16:47:27Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024
@danangbagus2998,Modelnya kerenan 13t jauuuuh,2024-11-13T15:05:34Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024
