author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date
@jeansilva5261,"I would prefer a smaller S Ultra series, which in my view is too big and too heavy.",2024-11-14T23:33:43Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@mrc4567,JerryRig gonna have great times next year,2024-11-13T12:51:14Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@gusion9367,"OMG APPLE yes 100% we wanted a phone for 1400 euros that only has 1 camera and worse battery,omg 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂",2024-11-11T14:30:42Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@xavierrobinson200,I don't think anyone wants a slim phone,2024-11-10T15:17:24Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@lofi2k22,"*we don't need slim or plus or fe or vanilla model. just make a pro model 6.3"" or 6.5"" with only 3 cameras without SPen & with same boxxie design like ultra.*",2024-11-10T11:31:32Z,1,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@klicka1,Wouldnt that mean the battery is even worse? Or they have to remove stuff to let the battery have same running time. Also I wished they wouldve waited for the Tab to be released with the new Elite Snapdragon... the Mediathek looks like a unwanted necessity because they had no other.,2024-11-09T14:09:37Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@rayrdelle,wait a second. I just watched a youtube video about the Samsung S26 ULTRA,2024-11-09T13:18:14Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@GengKapakK,"There's no need for ""Sorry Apple"" or ""Apple is finished"" crap. The numbers speak for themselves, Apple continues to lead globally each year. Ultimately, it comes down to whether you prefer the Android or iOS ecosystem. Comparing Samsung to other Android-based phones makes more sense.",2024-11-09T07:24:54Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@AlonsoLioneth,"I don't want less battery but I do want a phone with only one camera sensor, cause I personally don't use the other two I currently have. I would love a good phone with only one!",2024-11-09T04:34:43Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@SEC4POTUS,They should drop the FE and rebrand it as Slim.,2024-11-08T23:54:15Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@madboyreadynow28,"Reading the reviews, it's clear people forgot that iPhone and Samsung phones have always been slim but amazing. I think people are confusing slim was small. They're still going to have larger displays just slim which means lighter. They started getting thicker and heavier the S22 Ultra and Iphone 12 pro Max. Both Apple and Samsung are about to give us new slim devices. Currently, these phones are so thick and heavy that you can't go for a walk with them in your pocket because they are uncomfortable. Slimmer phones will be a hit. Reading the comments of people saying they don't want a slim phone when just 4 years ago, all phones were slim. The iPhone 11 pro max was slim. Samsung Note 20 Ultra was Slim.",2024-11-08T13:22:43Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@dibendu,"Battery will cry in corner, please don't do that😢",2024-11-08T09:17:46Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@ljgehd,I hope this won't be a note 7 repeat 😅 cuz remember it was barely enough space,2024-11-07T21:50:25Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@SupeDefy,"I want a longer lasting battery even if it means a little more thicker chassis.  

Don't care for skinnier phone when I'll have to put a thick case on it to protect the fragile phone.",2024-11-07T19:55:12Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@GalaxyPain-j8s,"Will this phone be free from green line issue just like the older flagship after an update? 

Or will it continue so you buy newer samsung?",2024-11-07T10:26:49Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@nickhemmers4667,I guess the phone 17 slim is apples first foldable phone,2024-11-07T10:11:23Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@RotBe1n,We want more battery life and they bring us slim phones,2024-11-07T08:14:45Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@MrMishka212,Name of the wallpaper at 0:18,2024-11-07T04:38:13Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@osvaldogutierrez8493,I can see myself sitings on it while it's on my bed,2024-11-07T03:47:03Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@ashrehman8911,Flip 7 slim please,2024-11-06T19:13:31Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@youngvibsgamingetc.123,No logic of comparison cuz Samsung S series is luxury android phone and iPhone is apple’s Luxury IOS phone which means both are different so it’s people’s choice what they want or if they want to buy both,2024-11-06T18:25:00Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@jan3019,"Just like the edge display, slim is not practical. The size of their phones right now is pretty damn good. Maybe for the fold they need to make it slimmer so it won't feel like you had two phones",2024-11-06T18:20:51Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@crentdaniel3456,Definitely gonna bend,2024-11-06T13:39:39Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@gunnzforhire,Make sure you're not wearing skinny jeans. That phone looks like it bends easily. (Unless you carry your phone in a bag),2024-11-06T09:24:44Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@steffenlze0178,"after the February 2023 update my s23 has never recovered again and is still massively overheating when i'm using the YouTube App and they think about thinner phones?

what about fixing problems first?

to buy and using an Asus Rog Phone now was finally the right decision for me. i still have a very nice performing Qualcomm SoC and leaving the Samsung Eco System wasn't that tragic after all.",2024-11-06T09:21:19Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@baneblade_0,"We just want cheaper, not slimmer",2024-11-06T08:34:37Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@eckofame,Who asked for this!!,2024-11-06T07:33:45Z,1,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@SimplyNicki,The fact you have thousands of subscribers watching your clickbait videos is beyond cringe.,2024-11-06T04:14:15Z,1,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@acw7120,"I love Samsung. All their stuff is sleek in design and easy and simple to use. They should know, it is ""very hard"" to leave positive comments about them, just sayin....I wondery WHY!

Might be worth LOOKING INTO...otherwise how will they ever know how their customers like their products so much?

I reckon even a Blue one would work as thats trending; imagine they could ask Neil Diamond to do the AD....""SAMSUNG BLUE....EVERYBODY OWNS ONE!!!""

I would print THAT T Shirt (before this A! BOT EATS and steals it! (Stamps....Time STAMPS)

""A SamSUNG BLUE is Better than a Rotten Apple""

But obviously ""speaking poetically"" lol",2024-11-06T03:23:47Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@raijin199,Samsung is a monkey see monkey do organization.,2024-11-05T19:16:27Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@mikebaronangeles2695,Scamschool indeed😂,2024-11-05T18:53:17Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@RiyadZaharni,"I'm going to say if apple will decide to make iphone 17, iphone 17 mini, iphone 17 Plus then iphone 17 pro, iphone 17 mini pro & iphone 17 pro max 

But always I can imagine it",2024-11-05T17:48:51Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@stardiamond1794,I don’t want a phone that feels like I can snap it 😭,2024-11-05T17:34:49Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@tiwitiwi6202,compare this to the iphone se4 ?,2024-11-05T15:54:16Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@parsa.07,Samsung Lovers ❤😍,2024-11-05T15:36:40Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@bobotfernandez1981,HM?. .,2024-11-05T13:51:01Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@Kairamzen,That slim thing will just be a total downgrade a total waste of time,2024-11-05T12:02:38Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@Kairamzen,They just went back to sleek phones before but lesser features ugghh,2024-11-05T12:02:00Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@ohiojemenareguamen6541,Aswear small ultra will b mad,2024-11-05T11:41:20Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@beach9952,After 14+ years of success they're still following and mocking iPhone what a joke,2024-11-05T11:30:40Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@ImpactingInfluencers,"Hey TechTalkTV, your review of the Samsung Galaxy S25 Slim was eye-opening! You really highlighted what sets it apart from Apple devices. I’d love to chat about how my agency can help you secure brand partnerships while you keep delivering fantastic content!",2024-11-05T10:53:53Z,1,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@imzulfii,"Samsung Should launch s25 ultra with size of S24, Because S24 is a phone size easy to carry, compaq.  Ultra size is like a Mini tab.. difficult to carry.. How about all features except battery of s25 ultra in size of s24 😊",2024-11-05T10:25:51Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@ERUKAR,Yeah no to the slim. Doesn't samsung do group marketing research.  🤔 wth,2024-11-05T08:11:09Z,0,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
@pgc6290,Galaxy sounds good tho.,2024-11-05T07:21:19Z,1,Galaxy S25 Slim,Samsung,Flagship,Mid-2025
