author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date
@gusjaya893,s25 semoga Samsung gak pelit dng ram. sy pemakai s22 mau upgrade ke s24 gak jadi gara² s24 gak ada ram yg 12gb. adik pakai a50s upgrade ke a55 ram 12gb/256 kan enak.,2024-11-13T20:27:01Z,0,Galaxy S25,Samsung,Flagship,"January 5, 2025"
@SyennaaNsnsn,zoom smpe 200× 😎 (ngelunjak dikit gpp lh ya😂),2024-11-04T10:19:26Z,0,Galaxy S25,Samsung,Flagship,"January 5, 2025"
@뮈됴,"Rumornya sih resolusi kamera UW meningkat jadi 50 MP untuk peningkatan di S25 Ultra. Inginnya sih seri reguler dan plusnya dapat UW ber-AF jadinya bisa makro soalnya si range yang sama brand"" China mulai bisa ngejar macam Xiaomi 14 series dan Vivo X100.",2024-10-24T23:03:57Z,0,Galaxy S25,Samsung,Flagship,"January 5, 2025"
@ahmatsulkan9374,Semoga pakai snapdragon 8 elite.,2024-10-24T05:22:08Z,0,Galaxy S25,Samsung,Flagship,"January 5, 2025"
@Char1995lotte,ya jangan lah. nilai jual s ultra ya periscope nya. nnti jadi gak exclusive kalau seri plus udah ada periscope nya.. sama kayak iphone seri standarnya yg masih 60hz layarnya. mirip case nya harusnya. biar keliatan beda sm yg seru pro nya,2024-10-23T04:13:46Z,0,Galaxy S25,Samsung,Flagship,"January 5, 2025"
@Suryadani97,Tinggal menikmati..daripada buat sendiri..angel,2024-10-22T09:43:35Z,0,Galaxy S25,Samsung,Flagship,"January 5, 2025"
@kembalidijalanmu3292,Gua kira Jonathan njir,2024-10-22T07:46:53Z,0,Galaxy S25,Samsung,Flagship,"January 5, 2025"
@MettaarjaSaputra,Aku dapat s23 ultra aja udah seneng dah..🥰,2024-10-21T13:45:41Z,0,Galaxy S25,Samsung,Flagship,"January 5, 2025"
@WarBuddha.,S25 biasa dapet periscope kayak Vivo x200 pro mini😊 harapan gua,2024-10-20T23:06:03Z,0,Galaxy S25,Samsung,Flagship,"January 5, 2025"
@cuvuxyz,Harapan gw gak muluk2 sih nasi gemuk jadi lah atau lontong sayur..,2024-10-20T12:41:54Z,0,Galaxy S25,Samsung,Flagship,"January 5, 2025"
