author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date
@GoGoWLD-007,Never buy a curved screen phone!!!,2024-10-12T08:28:13Z,2,Huawei Pura 80 Ultra,Huawei,Flagship,April 2025
@Simeon-n1h,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,2024-10-06T14:45:49Z,1,Huawei Pura 80 Ultra,Huawei,Flagship,April 2025
@Rukneddin_HMD,لا اتوقع ان يكون بهذا التصميم,2024-10-04T00:03:32Z,1,Huawei Pura 80 Ultra,Huawei,Flagship,April 2025
@miguel1990U,Cambiar el formato de las camaras seria un desacierto en el tema de marketing del modelo !! el formato de camaras es muy bonito,2024-10-03T03:21:08Z,1,Huawei Pura 80 Ultra,Huawei,Flagship,April 2025
@seyo2591,Apple 16 pro He laughed at this video 😅,2024-09-29T13:24:24Z,2,Huawei Pura 80 Ultra,Huawei,Flagship,April 2025
@junyadora3514,"Great Design,, waiting",2024-09-22T05:32:29Z,1,Huawei Pura 80 Ultra,Huawei,Flagship,April 2025
@niroshaalabdeen7367,"The Huawei P Series Smart Phones Are Magnificent & High Reliability Phones Hence,  Technically Huawei P 80 Ultra Will Definitely Best Smart Phones In The Forthcoming Year It's Will Be King Of The Kings Amoung The Forthcoming Flagship Smart Phones....It's Semi -Screen Designed True Innovations In The Fields Of The Smart Phones Segment....Wow & Keep It Huawei & The Best Of Luck For The Revolutionary Huawei P Series Smart Phones Segment. ❤",2024-09-14T15:46:41Z,1,Huawei Pura 80 Ultra,Huawei,Flagship,April 2025
@Ali_Marat554,"Много кто не любит айфоны как и Я, но думаю можно было бы на восьмидесятой модели сделать корпус как на айфоне, так как много уже есть телефонов с таким корпусом. Корпус как на айфоне и лёгкий загиб экрана было бы интересно и удобно держать в руке. А вы как считаете? 😊😊😊",2024-09-14T15:42:39Z,1,Huawei Pura 80 Ultra,Huawei,Flagship,April 2025
@JuanAntonio-x1u,Is this Real? Is this what it is really going to look like?,2024-08-16T20:10:05Z,2,Huawei Pura 80 Ultra,Huawei,Flagship,April 2025
@brunemarie1512,écran incurvé ? 🤥,2024-08-14T20:37:11Z,2,Huawei Pura 80 Ultra,Huawei,Flagship,April 2025
@MamdouhMoustafa-n9n,Beautiful design ❤❤,2024-07-24T06:41:04Z,2,Huawei Pura 80 Ultra,Huawei,Flagship,April 2025
@AlfredoLopez-ji5pq,Esta si es teléfono  que impresiona  a la gente,2024-07-23T23:49:28Z,1,Huawei Pura 80 Ultra,Huawei,Flagship,April 2025
@gloriamorenopena9114,"Es huawei
Siempre con lo mejor en dispositivos 👏👏
Love huawei ❤️",2024-07-21T02:41:32Z,1,Huawei Pura 80 Ultra,Huawei,Flagship,April 2025
@FUrSkills,Beyond,2024-07-19T09:53:08Z,2,Huawei Pura 80 Ultra,Huawei,Flagship,April 2025
@FUrSkills,❤,2024-07-19T09:52:04Z,2,Huawei Pura 80 Ultra,Huawei,Flagship,April 2025
@isaijimenez7618,Beautiful,2024-07-18T18:03:47Z,2,Huawei Pura 80 Ultra,Huawei,Flagship,April 2025
@RahimDumbu,Price n where can I get one,2024-07-18T09:51:03Z,3,Huawei Pura 80 Ultra,Huawei,Flagship,April 2025
@Terranwilliamson1745,Beyond beautiful I like the camara design of the huawei Pura 80 ultra so amazing,2024-07-17T13:02:08Z,7,Huawei Pura 80 Ultra,Huawei,Flagship,April 2025
@EldorbekUmarov,Supper,2024-07-17T11:59:26Z,5,Huawei Pura 80 Ultra,Huawei,Flagship,April 2025
