author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date
@eQui253,When USB 4 ?,2024-11-09T02:23:54Z,1,Pixel 10 Pro,Google,Flagship,October 2025
@SumanSarker-ft3dv,নাইচ,2024-11-05T03:28:25Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@GSnip3,If you don't get this iPhone rendering out of here,2024-10-16T02:24:48Z,1,Pixel 10 Pro,Google,Flagship,October 2025
@佐藤明彦-z7j,Â🐻♥️ピクセル１０いいねん❤❤❤❤❤❤❤❤❤❤❤‼️,2024-10-12T09:50:44Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@佐藤明彦-z7j,Â龜🐻⭕(⁠~⁠￣⁠³⁠￣⁠)⁠~本当に発売か❓ソレまち!かもしれない🐻♥️,2024-10-12T09:48:47Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@Musman-v6n,Price,2024-10-11T19:53:40Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@yonasgoa,How much,2024-09-29T15:48:25Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@limitless_life_2023,"I hope they add app lock, manual shutter speed and iso in the camera settings",2024-09-24T20:41:10Z,1,Pixel 10 Pro,Google,Flagship,October 2025
@aisqr_nawafv2,why the run button is down,2024-09-12T11:13:53Z,2,Pixel 10 Pro,Google,Flagship,October 2025
@emmieshouseofcacti840,When's this duento hit the uk,2024-09-09T14:12:04Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@JabarryBrowne,This camera better  be good,2024-09-08T13:55:55Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@MatovuOlivia,How much Google pixel latest cost,2024-08-21T20:56:03Z,1,Pixel 10 Pro,Google,Flagship,October 2025
@kishanvisram,Could you reply to this in 1 year? Let's see how right you were.,2024-08-13T21:24:07Z,4,Pixel 10 Pro,Google,Flagship,October 2025
@tausimkali6878,How can i gate this,2024-07-10T13:44:20Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@GkGk-vx3pb,Good.But maybe Right angle is better,2024-07-10T05:29:19Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@charlyleroy8546,Il a l'air très épais quelqu'un a les dimensions ?,2024-06-27T15:57:32Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@moses5161,"I still got my pixel 4a, photos & videos are amazing! Will pixel 10 better on camera than pixel 4a?",2024-06-25T20:04:59Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@annemarieumutoni-uf7qf,How much is it cost?,2024-06-09T16:53:48Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@therealzeon,Goateddddddd 😮❤ it's betifully 😢,2024-05-02T11:02:50Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@Caahir,awful,2024-05-01T18:37:11Z,1,Pixel 10 Pro,Google,Flagship,October 2025
@it_shnik_N54,Goooooood,2024-04-27T12:14:59Z,2,Pixel 10 Pro,Google,Flagship,October 2025
@livianwan8631,Omg. I shall skip 9pro and wait for 10,2024-04-03T08:17:13Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@Janss1211,Wow,2024-04-02T06:41:34Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@happywenching8065,來個跨平台 購物吧！或者連結,2024-03-23T23:11:02Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@happywenching8065,線上購物？,2024-03-23T23:10:10Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@poonamzee,🔥🔥🔥🔥🔥🔥,2024-03-23T17:48:03Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@felixkuntzekopele4915,Best,2024-10-31T06:44:31Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@marsluis1989,This is real I use iphone 14 pro I love this phone I want buy  now When we can buy this device I  Never  use iphone just this phone,2024-09-24T22:59:19Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@Jhakent-hg7,Tensor g5,2024-08-24T19:01:04Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@kishanvisram,Could you reply to this in 1 year? Let's see how right you were.,2024-08-13T21:24:34Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@JojoComz,When is the release date?,2024-07-24T17:16:16Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@moses5161,"I still got my pixel 4a, photos & videos are amazing! Will pixel 10 better on camera than pixel 4a?",2024-06-25T20:04:45Z,1,Pixel 10 Pro,Google,Flagship,October 2025
@RKSOURAV-HASAN,Googol Pixel My Favorite Phone🤗❤️‍🩹🥀😊,2024-06-22T17:14:54Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@guptaadarsh,Price?,2024-06-16T14:30:55Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@ChukwuMiracle-iy8lv,"I want it already,I can't wait for it to be in existence ❤❤❤",2024-06-06T02:11:49Z,6,Pixel 10 Pro,Google,Flagship,October 2025
@jubayerahmedasif1063,Wow😮,2024-05-04T17:43:13Z,2,Pixel 10 Pro,Google,Flagship,October 2025
@it_shnik_N54,Goood,2024-04-27T12:15:58Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@robmalcolm8042,Im using samsung s24 ultra and have used google pixel xl and iphone 13 before but im rooting for the pixel. I think once they use tsmc for their custom chip and not exynos it will help alot. Google has a lot of potential they just better use the power they have.,2024-04-07T00:07:00Z,8,Pixel 10 Pro,Google,Flagship,October 2025
@Janss1211,I already want it to arrive 😢,2024-04-03T04:56:34Z,1,Pixel 10 Pro,Google,Flagship,October 2025
@Janss1211,Wow,2024-04-03T04:56:19Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@Pnvemsoulfairyage,Top 1 smartphone of the world,2024-03-25T15:45:22Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@mhsahariarvai,Please Make Samsung Galaxy note 8,2024-03-20T19:20:27Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@AbdullahAlmahadi-t4y,Nice ❤,2024-03-14T07:34:39Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@Zoneagamez94478,😂😂😂😂,2024-03-13T05:44:44Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@futurworld2049,Please Make OPPO RENO 13 PRO,2024-03-04T13:45:51Z,1,Pixel 10 Pro,Google,Flagship,October 2025
@sidatyfall8522,Wow,2024-03-02T16:38:39Z,0,Pixel 10 Pro,Google,Flagship,October 2025
@dineshsahu6921,How much is it,2024-03-02T15:03:18Z,1,Pixel 10 Pro,Google,Flagship,October 2025
@dimonolin6985,Is this all done in a blender or somewhere?,2024-03-01T16:28:48Z,0,Pixel 10 Pro,Google,Flagship,October 2025
