author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date
@kangdodoy9957,"I need god please 😢, coba aja ada di erafone indonesia😢",2024-11-12T06:12:26Z,0,Pixel 9a,Google,Mid-Range,2025
@zubovserge,Красивые обои. Где это можно взять?,2024-11-08T08:37:39Z,0,Pixel 9a,Google,Mid-Range,2025
@satyammishra7745,It's legit ryt?,2024-11-01T06:11:27Z,0,Pixel 9a,Google,Mid-Range,2025
@Eng-ahmed,When will it be offered to the world markets and how much is it ❤,2024-10-31T20:48:41Z,0,Pixel 9a,Google,Mid-Range,2025
@mramed8448,Nice design,2024-10-26T13:41:23Z,0,Pixel 9a,Google,Mid-Range,2025
@gachibass3639,5'5 design waiting room.,2024-10-24T13:41:00Z,0,Pixel 9a,Google,Mid-Range,2025
@markjh1111,"Introducing, not introducting",2024-10-23T20:05:06Z,0,Pixel 9a,Google,Mid-Range,2025
@yanski9395,Comparing my pixel 6a and honor magic 5pro I prefer the 6a. I'll wait until pixel 10a,2024-10-23T17:00:35Z,3,Pixel 9a,Google,Mid-Range,2025
@Mister_Mr_Man,Googles killing it 🔥🔥🔥 great job,2024-10-23T05:25:39Z,3,Pixel 9a,Google,Mid-Range,2025
@N1njaChipmunk,20W is not fast charging,2024-10-22T16:41:41Z,1,Pixel 9a,Google,Mid-Range,2025
@The-real-kingkah,I'm sorry but the design for the Google pixel 9a looks so ugly why couldn't they have done the same design as the other pixel A series,2024-10-21T19:04:53Z,0,Pixel 9a,Google,Mid-Range,2025
@lovingsuchiang5786,nothing 2a 😂,2024-10-21T06:21:16Z,2,Pixel 9a,Google,Mid-Range,2025
@ciprianadrian21,The design is amazing,2024-10-20T11:59:31Z,2,Pixel 9a,Google,Mid-Range,2025
@AkbarShah-d3l,❤nice,2024-10-20T05:01:33Z,1,Pixel 9a,Google,Mid-Range,2025
@FoxVol,"You didn't take into account that even in the leaked renders the screen bezels are HUGE like in previous 7a, 8a, and in the video they are thin like the 9 Pro XL.",2024-10-19T05:33:35Z,4,Pixel 9a,Google,Mid-Range,2025
@TheYoshibeast1,Kinda like the design,2024-10-18T22:41:26Z,0,Pixel 9a,Google,Mid-Range,2025
@minimalist._,Better than og❤,2024-10-18T08:18:36Z,1,Pixel 9a,Google,Mid-Range,2025
@mximus862,The design is different? Yes because Google has gone mainstream with their pixel lineups so they had to differentiate the cheap ones,2024-10-18T06:22:00Z,8,Pixel 9a,Google,Mid-Range,2025
@afsalc9674,which music is this?,2024-10-18T04:46:47Z,1,Pixel 9a,Google,Mid-Range,2025
@timwindsor03,Thanks for sharing.  Much appreciated.  Keep the content coming.  Hope you have an incredible night.,2024-10-17T21:22:19Z,3,Pixel 9a,Google,Mid-Range,2025
@fabistar2000,There‘s no way Google‘s entry model will have thinner bezzels than their flagship model.,2024-11-16T22:29:30Z,0,Pixel 9a,Google,Mid-Range,2025
@rajkumar_og,So what's the difference between regular pixel 9 & this one? 9a looks better than the regular.,2024-11-15T12:48:35Z,1,Pixel 9a,Google,Mid-Range,2025
@ketchupash2252,I might upgrade my Pixel 6a to this. This looks awesome,2024-11-15T07:02:54Z,1,Pixel 9a,Google,Mid-Range,2025
@kennethgarote3587,i love it ❤❤❤,2024-11-14T10:17:46Z,0,Pixel 9a,Google,Mid-Range,2025
@ledhicks,If it's true I'm gon wait for it. The camera bump on 9 is Robocop hideous!,2024-11-14T00:50:38Z,0,Pixel 9a,Google,Mid-Range,2025
@passivevii4052,I highly doubt it's gonna be 8GB of ram when the normal 9 has 12 GB of ram and 8 isn't enough,2024-11-13T21:18:44Z,0,Pixel 9a,Google,Mid-Range,2025
@Sabsebadepapa,Would never buy pixel unless they drop tensor chipset,2024-11-13T14:50:15Z,0,Pixel 9a,Google,Mid-Range,2025
@MisstakenDoge95,Now if only they standardized telephoto lenses like UW lenses.,2024-11-12T12:30:01Z,3,Pixel 9a,Google,Mid-Range,2025
@west15,"Everything is good, but the modem is the old Exynos 5300, not the new Exynos 5400 used in the Pixel 9.",2024-11-12T05:58:00Z,0,Pixel 9a,Google,Mid-Range,2025
@devanshprakash8354,It looks shit,2024-11-11T06:46:41Z,0,Pixel 9a,Google,Mid-Range,2025
@simstech5697,Nice,2024-11-10T00:54:49Z,0,Pixel 9a,Google,Mid-Range,2025
@rogerskanyita1418,it looks boring. I love the previous designs,2024-11-08T21:36:16Z,0,Pixel 9a,Google,Mid-Range,2025
@RadithSamaratunga,I don’t think it will have LTPO display considering that fact that even regular pixel 9 doesn’t have LTPO.,2024-11-05T15:04:22Z,0,Pixel 9a,Google,Mid-Range,2025
@K_Catapilla,Reminds me of the essential phone,2024-11-04T19:37:36Z,0,Pixel 9a,Google,Mid-Range,2025
@K_Catapilla,Reminds me of the essential phone,2024-11-04T19:37:32Z,0,Pixel 9a,Google,Mid-Range,2025
@artdogg50,$550 would be a bad idea.,2024-11-03T19:36:48Z,0,Pixel 9a,Google,Mid-Range,2025
@itsjaik,Lol...550$? Why are they even launching this😅,2024-11-02T06:35:32Z,0,Pixel 9a,Google,Mid-Range,2025
@mysticery,"Honestly... If this look becomes made and trickle down to the design of the poxel 10 onwards,... Lets hope there will be no sacrifices in terms of hardware.. google design team are so fixated on really weird design choices and decisions. Even on the rhe pixel 9 series,.. the bottom firing speakers have moved to the left side.. why! Now i have hold the phone a certain way in landscape so i dont block the speakers. Or change how i have been using my phone in landscape..",2024-11-01T06:53:12Z,2,Pixel 9a,Google,Mid-Range,2025
@nosionose6894,"This current pixel models, for me is a no go because of their design, they look ugly.",2024-10-31T02:35:00Z,0,Pixel 9a,Google,Mid-Range,2025
@maxterwel,"unless it comes with huge bezels, it's not a pixel a.",2024-10-30T17:29:04Z,0,Pixel 9a,Google,Mid-Range,2025
@seanwheat4078,"Launching in March of 2025, I hope it ships with the latest version of Android. 😅",2024-10-30T13:03:55Z,1,Pixel 9a,Google,Mid-Range,2025
@vasudevmenon2496,They might as well rename A series to 9. I love existing camera bar design,2024-10-29T04:21:28Z,4,Pixel 9a,Google,Mid-Range,2025
@Bakedeggplant-y5h,I hate the curved corners. I'm trying to get AWAY from iPhones design. But Google wants to COPY IT!!!!! Bring back the square corners!!!!,2024-10-28T17:51:29Z,3,Pixel 9a,Google,Mid-Range,2025
@MdmKamen,March 2025? Way tooo long to wait,2024-10-27T16:43:47Z,3,Pixel 9a,Google,Mid-Range,2025
@I-Need-A-New-Hobby4186,Ngl for once the design does not look good 💀,2024-10-27T13:35:05Z,2,Pixel 9a,Google,Mid-Range,2025
@FreshThit,wait.. LTPO? 👀👀,2024-10-26T17:46:46Z,5,Pixel 9a,Google,Mid-Range,2025
@tomatenbrotmitmozzerella,I hate the fact that the legendary camera bar is gone 😭,2024-10-26T11:29:38Z,17,Pixel 9a,Google,Mid-Range,2025
@gautamnaik8812,Let's be real this looks like some old junk from 6 years ago. The bezel is gonna be the same ugly factor for not buying the phone. The pixel 7a felt far better if we took bezels into consideration. Rather spend a bit more buy 9 on festive offers. The pixel 8 had such a low price last month similarly the pixel 9's price will drop.,2024-10-26T08:29:12Z,2,Pixel 9a,Google,Mid-Range,2025
@LifestyleMalayalam,Looks ❤❤,2024-10-24T05:17:38Z,1,Pixel 9a,Google,Mid-Range,2025
@kevinh7597,🤢🤮,2024-10-23T06:27:31Z,2,Pixel 9a,Google,Mid-Range,2025
@anyarasan8529,Better then iphone 16,2024-10-22T12:18:28Z,2,Pixel 9a,Google,Mid-Range,2025
@arman.zibrooz,Enjoy pure Android with the Pixel 9 💯🔥💯,2024-10-21T14:52:42Z,1,Pixel 9a,Google,Mid-Range,2025
@kilroy4103,Where can I get those wallpapers from?,2024-10-21T09:34:38Z,2,Pixel 9a,Google,Mid-Range,2025
@levil4012,I like the look of it,2024-10-19T19:11:41Z,13,Pixel 9a,Google,Mid-Range,2025
@owenpotter1638,Is it going to look remotely anything like this ai generated thing.,2024-10-19T18:33:29Z,3,Pixel 9a,Google,Mid-Range,2025
@FCm-tq2ho,Interesting!!,2024-10-18T15:16:59Z,1,Pixel 9a,Google,Mid-Range,2025
@MLDMimou-cv3dg,Wow that's will be the best google pixel design for all,2024-10-17T17:34:57Z,33,Pixel 9a,Google,Mid-Range,2025
@jadekirsten9205,The rear looks very neat without a humongous bump,2024-10-17T02:30:54Z,79,Pixel 9a,Google,Mid-Range,2025
@Towshidgamerfan,Your old subscriber im puar give me iphone 😢😢😢 don't ignore my comment,2024-10-16T07:18:52Z,1,Pixel 9a,Google,Mid-Range,2025
@paulhill1379,Looks good 👍,2024-10-15T17:21:42Z,15,Pixel 9a,Google,Mid-Range,2025
