author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date
@GentaPratamaputra-ui4mm,Bang kok enggak tes game PUBGM kenapa padahal saya mau liat game nya dapet berapa fps bang😢,2024-11-16T05:35:29Z,0,Realme 13 Series,Realme,Mid-Range,2025
@satriajodi1500,saran dong tolong mending ip x atau realme 13,2024-11-14T02:16:11Z,0,Realme 13 Series,Realme,Mid-Range,2025
@alfanur_rizal,"Bagi gw, desain kamera bulet di belakang gitu malah norak..",2024-11-13T12:17:52Z,0,Realme 13 Series,Realme,Mid-Range,2025
@WoeeStronge,Ga dulu snapdragon 685 ampasss,2024-11-13T07:43:55Z,0,Realme 13 Series,Realme,Mid-Range,2025
@MajlisAlBadi,Review realme GT7 dong,2024-11-08T04:24:51Z,0,Realme 13 Series,Realme,Mid-Range,2025
@OkkySafitri-hk5rz,"Ak dari dulu pake realme 3 sampe 7thun sekarang alhamdulilah aman2 aja, cuma sekarang minus kamera depan sudah agak burem 🤣 menurut aku best sii realme ini 👍",2024-11-07T13:40:03Z,0,Realme 13 Series,Realme,Mid-Range,2025
@abay_plangton1810,minta saran dong kalo beli hp di online enak di shoppe apa tokped ya,2024-11-05T00:31:41Z,0,Realme 13 Series,Realme,Mid-Range,2025
@rizki7774,Bagus redmi note 13 5G apaa realme 13??,2024-11-04T21:19:20Z,0,Realme 13 Series,Realme,Mid-Range,2025
@dheavivichannel1621,Untuk live gimana,2024-11-04T04:41:23Z,0,Realme 13 Series,Realme,Mid-Range,2025
@souland9958,"Mending pova 5 pro 
2 jtan udah ml 120 fps
Camera udah support 60 fps",2024-11-03T11:55:42Z,0,Realme 13 Series,Realme,Mid-Range,2025
@ZelineArthuria,mau beli hp harga di bawah 3 jt'an yg tahan lama + buad game apa ya bang bingung mau pilih oppo atau realme 😭,2024-11-03T08:16:44Z,0,Realme 13 Series,Realme,Mid-Range,2025
@ocolrap444,masih tinggi spek realme 10 wak,2024-11-01T06:13:06Z,0,Realme 13 Series,Realme,Mid-Range,2025
@luluskuy,"14:05 fps 31, nggak kelock",2024-10-30T20:54:18Z,0,Realme 13 Series,Realme,Mid-Range,2025
@desakdewi242,"Gw pengguna realme c25... Udah 5 tahun pemakaian dan baik2 saja ... Hape udah sering di jatuhin bocil , tapi msh oke. Ngetik lancar, nge sosmed gak nge lag, batre seharian mentok  habis dan sisa 50%... Penggunaan paking sering untuk nge wa, ig, fb dan yutub aja.",2024-10-30T14:56:10Z,0,Realme 13 Series,Realme,Mid-Range,2025
@mazhkasyafiq331,Nonton pake realme 8 5g,2024-10-29T01:06:59Z,0,Realme 13 Series,Realme,Mid-Range,2025
@aradhea23,"Dua minggu lalu saya beli hp ini yang varian 8/128 diharga 2,9 jt buat gantiin hp realme c21 yang saya beli di awal tahun 2021. Selama dua minggu ini oke2 aja untuk pemakaian normal tidak untuk gaming. Tidak gampang panas dan baru sekarang saya liat reviewnya karena sebelum beli saya minta rekomendasi dari teman katanya realme 13 bagus dan recommended",2024-10-28T00:19:02Z,0,Realme 13 Series,Realme,Mid-Range,2025
@rumahsaya4850,"Trus gk produksi lagi naga 675, 710, 712, 695/g90T, g95, g96??",2024-10-26T23:02:24Z,0,Realme 13 Series,Realme,Mid-Range,2025
@bangmus1703,👍👍,2024-10-24T09:51:02Z,0,Realme 13 Series,Realme,Mid-Range,2025
@VelUnbridled,"Minta saran dong guys, mending realme 13 atau realme 12+?",2024-10-23T21:42:58Z,0,Realme 13 Series,Realme,Mid-Range,2025
@ronaldonazario5324,"Bang mau tanya, lebih bagus realme c63 apa c61 bang?",2024-10-22T08:42:16Z,0,Realme 13 Series,Realme,Mid-Range,2025
@jamessimamora5488,"Hp nya bagus bang,chipset nya dipuji diharga nya,padahal oppo reno 12f kena bully yang lebih mahal dikit,padahal di reno udah lengkap AI layar memukau dan juga hp yang susah panas",2024-10-21T10:06:47Z,0,Realme 13 Series,Realme,Mid-Range,2025
@Dracko_soldier,"Saran bg pas coba game, cobain game HSR atau WUWA karena lebih berat bg",2024-10-19T12:33:26Z,0,Realme 13 Series,Realme,Mid-Range,2025
@pandjifauzan4160,Bang klo buat kamrea mending realme 13 apa samsung A15,2024-10-19T09:07:40Z,0,Realme 13 Series,Realme,Mid-Range,2025
@RasaTokay-dl4pz,"Pake realme 8, sudah tiga tahun lebih masih bagus, batre juga belum ngedrop, sampai bosen pakai nya, mau ganti baru masih sayang..",2024-10-19T06:00:00Z,0,Realme 13 Series,Realme,Mid-Range,2025
@irfanrosadi9706,"Pengen update dari realme 3 pro ke realme 13, worth engga bang?",2024-10-18T16:33:47Z,0,Realme 13 Series,Realme,Mid-Range,2025
@mochammadzainulwafa4829,Bang david. Review Infinix note 40 pro 5G dong.,2024-10-18T11:43:16Z,0,Realme 13 Series,Realme,Mid-Range,2025
@tukangsapu21,Nonton ini Di 2024 masih pake realme 7 pro...  Keluaran 2020 yang beli barunya 4.5 jt. Sekarang berasa jadul.😂,2024-10-16T22:46:44Z,1,Realme 13 Series,Realme,Mid-Range,2025
@Yasirarya11,bang coba realmi c61,2024-10-16T15:51:45Z,0,Realme 13 Series,Realme,Mid-Range,2025
@SyahShafly,Bang coba reques HP TECNO GO1,2024-10-14T14:31:23Z,0,Realme 13 Series,Realme,Mid-Range,2025
@sriutari1112,Q dah pake realme narzo 20 selama 4 thn.sekarang udah mulai capek hapus sampah,2024-10-14T03:09:08Z,0,Realme 13 Series,Realme,Mid-Range,2025
@Alfadhiilah,Parno beli realme lg bang pernah beli toucscreennya jelek g responsif,2024-10-13T14:43:36Z,0,Realme 13 Series,Realme,Mid-Range,2025
@ilhamfadjrin7786,"Realme Dibully Terus, Stres Gue Lama² Sebagai Loyalty Realme",2024-10-13T06:27:32Z,0,Realme 13 Series,Realme,Mid-Range,2025
