author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date
@diyspacecrafts,Waiting the global market release 🙏🏻,2024-11-15T00:28:41Z,0,Redmi Note 14 Series,Xiaomi,Mid-Range,2025
@alsanabani,"This device isn't compatible with US devices. Don't buy directly from their website, because they won't offer a return and you won't get a refund. It's a scam",2024-11-11T13:44:43Z,0,Redmi Note 14 Series,Xiaomi,Mid-Range,2025
@ymnvlogs,Waiting for this phone 😍,2024-11-10T03:59:46Z,0,Redmi Note 14 Series,Xiaomi,Mid-Range,2025
@neonbf8511,full review please of redmi 14 pro plus,2024-11-08T16:59:19Z,0,Redmi Note 14 Series,Xiaomi,Mid-Range,2025
@jamesverdida9353,Full Reviews on these latest phones of Redmi Note 14 Pro+ please sir... Thanks?,2024-11-08T05:26:22Z,0,Redmi Note 14 Series,Xiaomi,Mid-Range,2025
@jamesverdida9353,"Congratulations Xiaomi brand of bringing the Redmi Note 14 pro and pro plus, such a huge upgrade to highest level. Love their newest form factor, the latest softwares and hardwares of these latest models... ❤😊",2024-11-08T05:24:04Z,0,Redmi Note 14 Series,Xiaomi,Mid-Range,2025
@RaselAlam-o5s,No 😞👎 3.5 audio jack,2024-11-06T02:18:05Z,0,Redmi Note 14 Series,Xiaomi,Mid-Range,2025
@HeinekenLasse,"No headphone jack, no buy",2024-10-31T10:50:27Z,0,Redmi Note 14 Series,Xiaomi,Mid-Range,2025
@Griftercash,thanks for the video,2024-10-28T22:29:22Z,0,Redmi Note 14 Series,Xiaomi,Mid-Range,2025
@RaulGurca-j4r,😂😂😂 urite foc,2024-10-24T14:35:22Z,0,Redmi Note 14 Series,Xiaomi,Mid-Range,2025
@cutiepie5884,Does the china version have Google services and play store?,2024-10-23T08:25:49Z,0,Redmi Note 14 Series,Xiaomi,Mid-Range,2025
@cutiepie5884,can the phone language be changed if i buy it from china?,2024-10-22T17:34:22Z,0,Redmi Note 14 Series,Xiaomi,Mid-Range,2025
@kevincontreras-x8q,good  day sir do u know how to fix the google play store sign in problem.? My friend buy the redmi note 14pro+ but cannot log in,2024-10-21T13:32:48Z,0,Redmi Note 14 Series,Xiaomi,Mid-Range,2025
@dominikhimal5632,I want it but AAPE version like 13,2024-10-15T23:51:51Z,0,Redmi Note 14 Series,Xiaomi,Mid-Range,2025
@steve-lh7tp,will xiaomi release mi 14lite aka 14 civi globally? coz this phone is awesome 🥰,2024-10-15T13:41:19Z,0,Redmi Note 14 Series,Xiaomi,Mid-Range,2025
@juvykentzamora3972,Where I can buy,2024-10-14T07:21:00Z,0,Redmi Note 14 Series,Xiaomi,Mid-Range,2025
@RonRon-pk7ob,The plus version will be available globally so stop misleading people to buy from your store.,2024-10-14T02:39:37Z,0,Redmi Note 14 Series,Xiaomi,Mid-Range,2025
@smoKing4freedom,6000 mAh battery is a minor upgrade 😅,2024-10-13T05:19:38Z,0,Redmi Note 14 Series,Xiaomi,Mid-Range,2025
@kpaxx8882,"3,5 mm jack girişi  neden yok ? bluetoot kulaklıklar hem sesi kötü hem de fazla enerji harcıyor neden kaldırıyorsun ya , Apple ne  yapsa aynısını yapmak zorunda değilsin",2024-10-12T20:17:30Z,0,Redmi Note 14 Series,Xiaomi,Mid-Range,2025
@sumi227,"why do people hate curved screen? it is elegance, harder to make, feels more premium in hand, looks bezelless, easier to grip and absolutely immersive. rmn14pp got 6400mAh battery? man that is absolutely life changing",2024-10-11T03:49:01Z,0,Redmi Note 14 Series,Xiaomi,Mid-Range,2025
@demsmongalam5449,is it not so curved screen?,2024-10-10T12:04:01Z,0,Redmi Note 14 Series,Xiaomi,Mid-Range,2025
@majesty5841,"Redmi note 14 pro plus snapdragon 7s Gen 3 🤣
Redmi note 14 pro Demensity 7300 ultra 🤣",2024-10-06T03:25:46Z,0,Redmi Note 14 Series,Xiaomi,Mid-Range,2025
@MnMPryoBanana,tbh its beautiful. too bad its processor sucks,2024-10-05T13:03:05Z,0,Redmi Note 14 Series,Xiaomi,Mid-Range,2025
