author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date
@K2G,"Ralat itu 3:35 yang kiri Xiaomi pake 5x optical
Begitu juga di 3:22 yang foto marmut 
3:42 yang kanan 3.7x optical zoom
6:04 yang kanan vivo bukan oppo
Mohon maaf sepertinya kurang minum kurang teliti 😄🙏",2024-11-14T05:14:56Z,36,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@almandosanjaya2353,Bang maap oot... Kalo disuruh milih (cuma boleh milih 1) mending lensa tele atau ultrawide sebagai pendamping lensa utama...,2024-11-17T02:24:33Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@KeishaCalista-m7y,"Desain ny kyk hp 3jt, padahal ini flagship",2024-11-16T23:11:49Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@rikixgaulelfath,"Kameranya bagus sih cmu agak kurang greget, mudah2an di update software selanjutnya aman.",2024-11-16T17:50:53Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@roderickalexandercfp4392,14p 14u lbh menarik ni kalau drop hrg,2024-11-16T13:14:14Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@pieterdeliho1492,keren banget mediatek bisa dingin di test apapun!,2024-11-16T11:59:22Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@leonidas8345,"Paling benci pas ngomong alright, sok Inggris tp spellnya amburadul...",2024-11-16T07:48:32Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@faqihudinpratama9741,"saya nungguin yg 15 regular waah, cukup device compact dgn performance mumpuni",2024-11-16T05:08:17Z,1,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@inorearl0603,Coba review realme GT7 pro dan di bandingkan dengan Xiaomi 15 pro 🙏🙏,2024-11-15T22:07:44Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@OctianzAveiro,OPPO Bang,2024-11-15T20:32:20Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@eeksenyum,"mas coba compare video 1080p 60fps Infinix note 40s sama Xiaomi 15 pro 
coba mas, please 🙏",2024-11-15T19:59:26Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@nasrullah4368,kapan iqoo 13,2024-11-15T19:16:45Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@mangandolan,Desain. Ya sumpahh ...jelekk bgt,2024-11-15T15:59:09Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@christianovahandaru8429,ngeluh,2024-11-15T14:35:18Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@m.ariefperdana5678,"mediatek benar benar sudah menyamain snapdragon,akhirnya kita memasuki era chipset buat hape flagship gak itu itu aja",2024-11-15T13:34:47Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@Light_Switch_,"Bang, tolong buat video khusus tentang ketahanan ip68 dong bang🙏",2024-11-15T12:31:51Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@Djisamsoe11,Muka burung hantunya ngeselin benar😂,2024-11-15T08:52:30Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@DwiNovanAnggaWicaksana-fc7ho,baru beli Xiaomi 14 dah muncul aja ini Xiaomi 15 series 😢,2024-11-15T06:54:48Z,1,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@fahrezasalim722,"makin ke sini makin gak peduli sama review kamera, beda beda tipis gak kerasa, gak di gunakan tiap hari juga, mending review aja user experien terkai OS dan UInya, AI game oke lah",2024-11-15T06:53:19Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@mostpopular7816,VIVO emang gak ada obat,2024-11-15T05:59:41Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@wafiemwe7643,Bbk group punya system cooling yg bagus,2024-11-15T05:55:42Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@nursalim7989,Tes spikernya dong bang,2024-11-15T04:50:31Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@sungkantonggo2293,Xiaomi bikin disain hp yg mirip kamera saku DSLR dong..,2024-11-15T04:27:31Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@ramdhanhidayat2063,"Vivo dari seri x70 pronya aja udah mulai jago dalam menghendle mediatek, padahal di acara launching gak ada gembor²in vapor chamber tapi manajemen panasnya gokil 😅",2024-11-15T03:58:40Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@boyeki6804,masih setia di xiaomi 14 sih,2024-11-15T03:02:15Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@toniparulian4990,Review pixel 9 pro,2024-11-15T02:47:44Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@MrsJones-lz8xn,xiaomi phone panas spnjng zaman,2024-11-15T02:13:50Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@Denwahid,Bener gw juga kurang sreg sama desain kameranya,2024-11-15T00:51:57Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@muhammadisa4808,Udah sih 2025 emg tahunnya  flagship vivo no debat😂,2024-11-14T23:02:08Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@sdw290,👍,2024-11-14T22:56:17Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@KiluaMeiga,"12:36 kata kata ajaib, one plus kapan masuk indo 😂?",2024-11-14T18:15:37Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@renofumi28,"Bang kalo boleh request, yg versi china di keep ya bang, buat di compare sama versi resmi Indonesia..",2024-11-14T17:54:11Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@manofculturecum,"ngeri skor Geekbench OnePlus 13, udh setara apple M1",2024-11-14T16:50:09Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@jacobchandra9449,Masih nunggu review oneplus13,2024-11-14T16:29:59Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@nebraskaexel4775,Sepertinya cooling sistem hp lain lebih bagus dri pda xiaomi,2024-11-14T16:16:06Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@tresnowicaksono1255,"Nungguin Samsung S25 Ultra sih, kayaknya bakal oke dengan kombinasi OS mereka yang mantap.",2024-11-14T15:53:06Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@cahyabintang7150,Knapa hp market cina ga support esim?? Bukanya esim itu lebih enak??,2024-11-14T15:21:42Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@Rum4d0n,Mas ditunggu IQOOO 13 nya yaaaa 🙏🙏🙏,2024-11-14T15:06:02Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@caturwin5195,"rata² hp Vivo ademm & hemmat baterai 🔋👍✨✨🔋... . 🤷💬💬 kok biisa ya...??
yg perlu performa pastinya tetap Xiaomi 👍🔥🔥",2024-11-14T15:01:17Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@VMD-Channel,"Dear K2G, Yg Ok  & Tambah dewasa😊 Tolong Dong please, , , Review'in Lg Xiaomi 12 pro di tahun 2024 ini. Apakah masih layak atau masih bisa bersaing dengan hp² keluaran terbaru. Pengen tau performance. Coz saya baru aja dapet unit hp'ny new. Terimakasih K2G & crew'ny, suka dengan pembahasan'ny Yg detal dari dlu. Sukses poko'ny🙏",2024-11-14T14:51:05Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
@KarmilahYy,"bye2 vivo,,, ini lbh menarik ❤😂🤗",2024-11-14T14:43:40Z,0,Xiaomi 15 Pro,Xiaomi,Flagship,2025
