author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date
@NEVER-EX1STED,"Kepo banget gw , kuat main game pou gak",2024-11-16T18:26:15Z,0,Xiaomi 15,Xiaomi,Flagship,2025
@vaultboy8977,"Itu yg belakang kok lensanya kyk ada 4.. tpi katanya triple camera, terus yg 1 itu apa?",2024-11-16T13:26:18Z,0,Xiaomi 15,Xiaomi,Flagship,2025
@Masbro_Motovlog,Bang yutuber cupu skali2 jual Hp nya yg bekas riview... Aq mw beli...,2024-11-16T00:44:02Z,0,Xiaomi 15,Xiaomi,Flagship,2025
@afjdhsis,Xiaomi 15 dapat berapa kali update os bg,2024-11-15T09:26:40Z,0,Xiaomi 15,Xiaomi,Flagship,2025
@harrisoktoputra9456,Ga bakal masuk Indonesia sepertinya,2024-11-15T08:18:52Z,0,Xiaomi 15,Xiaomi,Flagship,2025
@MuhammadIqbal-yl2rj,"Bang mohon di jawab bang, pentinh banget ini. XIAOMI 15 UDAH MAGNETIC WIRELESS CHARGING ATAU NGGAK?

Aku cari infonya di internet ga jelas bang, ada yg bilang iya ada nggak. Soalnya kan android pertama yg wireless charging magnetic itu Oppo find x8 tapi masih bantuan casing, nah apakah xiami ini magnet nya di dalam body nya?",2024-11-14T13:12:44Z,0,Xiaomi 15,Xiaomi,Flagship,2025
@samsayyid8246,Kalo dibandingin sama Vivo x200 yg pronya AnTuTu Xiaomi bisa kalah 300k an😅,2024-11-14T04:00:13Z,0,Xiaomi 15,Xiaomi,Flagship,2025
@Umar_Cell,"Video 60fps nya Xiaomi 15,
Udah bisa langsung pindah-pindah kamera gak ? Di resolusi 4K
Atau masih sama kayak Xiaomi 14, 60fps nya cuma bisa di 1080p",2024-11-13T14:24:55Z,0,Xiaomi 15,Xiaomi,Flagship,2025
@Umar_Cell,"Video 60fps nya Xiaomi 15,
Udah bisa langsung pindah-pindah kamera gak ? Di resolusi 4K
Atau masih sama kayak Xiaomi 14, 60fps nya cuma bisa di 1080p",2024-11-13T14:24:46Z,0,Xiaomi 15,Xiaomi,Flagship,2025
@Umar_Cell,"Video 60fps nya Xiaomi 15,
Udah bisa langsung pindah-pindah kamera gak ? Di resolusi 4K
Atau masih sama kayak Xiaomi 14, 60fps nya cuma bisa di 1080p",2024-11-13T14:24:37Z,0,Xiaomi 15,Xiaomi,Flagship,2025
@PKI_Pecinta_Kucing_Indonesia,iPhone 16? Abangnya habis beli iPhone 16 dari masa depan kah? 😂,2024-11-13T09:03:48Z,0,Xiaomi 15,Xiaomi,Flagship,2025
