author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date
@sousacarvalhodesign4194,Igual os anuncios da samsung,2024-11-15T11:59:22Z,0,iPhone 17 Air,Apple,Mid-Range,"September 9, 2025"
@Adamisthecoolboy,It’s not real,2024-11-14T17:15:39Z,0,iPhone 17 Air,Apple,Mid-Range,"September 9, 2025"
@LucyBackup,Next thing we know it there’s going to be the camera built in 😂,2024-11-13T03:07:17Z,0,iPhone 17 Air,Apple,Mid-Range,"September 9, 2025"
@chandrikamahant7501,Smol saiz place,2024-11-12T04:15:37Z,0,iPhone 17 Air,Apple,Mid-Range,"September 9, 2025"
@chandrikamahant7501,Nice look,2024-11-12T04:15:02Z,1,iPhone 17 Air,Apple,Mid-Range,"September 9, 2025"
@PreppyGirl-2000,APPLE WERE NOT GOING BACK IN TIME MAKE BIGGER AND BETTER IPHONES 😢😢😢,2024-11-10T02:19:59Z,0,iPhone 17 Air,Apple,Mid-Range,"September 9, 2025"
@dhrslayer,Oh air will be light but no battery 100mah 😂,2024-11-08T16:16:52Z,1,iPhone 17 Air,Apple,Mid-Range,"September 9, 2025"
@ณัฐพงษ์นนท์ศรี-ธ7ว,iPhone XR,2024-11-08T11:09:18Z,0,iPhone 17 Air,Apple,Mid-Range,"September 9, 2025"
@Yefriart88,KALIGRAFICOZcLOSECOSMETIC,2024-11-07T00:20:50Z,0,iPhone 17 Air,Apple,Mid-Range,"September 9, 2025"
@TemurbekAbdukarimov-ct3py,iPhone XR❌ iPhone 17✅😂😂😂,2024-11-06T17:33:28Z,1,iPhone 17 Air,Apple,Mid-Range,"September 9, 2025"
@Sudden-Champion24,I like the 3 camera bumps. It differentiates between iPhone and Samsung. makes the iPhone look like an iPhone. I also like the Dynamic Island,2024-10-31T21:28:03Z,1,iPhone 17 Air,Apple,Mid-Range,"September 9, 2025"
@Kitao9,they should hire you,2024-10-31T04:48:04Z,1,iPhone 17 Air,Apple,Mid-Range,"September 9, 2025"
@elf_channell,Apple may finally release a phone without a camera,2024-10-30T18:38:48Z,0,iPhone 17 Air,Apple,Mid-Range,"September 9, 2025"
@RaimGamingyt,First i think it is i phone Xr 😅,2024-10-29T13:09:41Z,1,iPhone 17 Air,Apple,Mid-Range,"September 9, 2025"
@YüsraŞinikoğlu,I am from Turkey,2024-10-29T07:07:27Z,1,iPhone 17 Air,Apple,Mid-Range,"September 9, 2025"
@lumcheeleong444,Airluminium?,2024-10-27T11:28:22Z,0,iPhone 17 Air,Apple,Mid-Range,"September 9, 2025"
@Ranz1221,Great Animation,2024-10-25T10:56:22Z,1,iPhone 17 Air,Apple,Mid-Range,"September 9, 2025"
@asherdipps,This was actually really good… great job 👏,2024-10-25T07:29:16Z,1,iPhone 17 Air,Apple,Mid-Range,"September 9, 2025"
@djuandlyn,I have an iPhone 13 will not upgrade until they show me a real upgrade something that wows me and very light weight. Not just a side button that is out of place,2024-10-24T02:44:43Z,0,iPhone 17 Air,Apple,Mid-Range,"September 9, 2025"
@brian_njtransit,it probably won’t have the 17 in its name and just be called “iPhone Air”,2024-10-23T21:40:08Z,1,iPhone 17 Air,Apple,Mid-Range,"September 9, 2025"
@benjitheman,Fire concept but we are not putting just 1 camera on a phone in 2024 💀,2024-10-22T06:39:15Z,1,iPhone 17 Air,Apple,Mid-Range,"September 9, 2025"
@totallynotcamren,This is worse than the 16 not gonna lie..,2024-10-19T02:35:28Z,0,iPhone 17 Air,Apple,Mid-Range,"September 9, 2025"
@imluctor5997,next one give it even less bezels. The 16 pro already has smaller bezels than this concept,2024-10-18T18:05:57Z,0,iPhone 17 Air,Apple,Mid-Range,"September 9, 2025"
