author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date
@muhammadmaryohernisperdana2376,malah belum rilis padahal di global udah mau keluar Iqoo z9,2024-01-17T14:46:20Z,4,iQOO Z8,iQOO,Mid-Range,August 2024
@rudigautama6459,Prnh punya Iqoo z7x cukup puas makai-nya cuman kamera depan kurang bagus,2023-12-24T16:44:49Z,0,iQOO Z8,iQOO,Mid-Range,August 2024
@mygenta3810,"Yaa koq jadi mediatek sii, padahal sblmnya selalu Snapdragon series 7",2023-11-23T17:10:12Z,0,iQOO Z8,iQOO,Mid-Range,August 2024
@deviddong6740,Moga varian tertinggi nya masuk jg di Indonesia 😊,2023-11-19T15:26:34Z,2,iQOO Z8,iQOO,Mid-Range,August 2024
@Liberator-,thumbnail taeeekkk,2023-10-25T23:31:28Z,1,iQOO Z8,iQOO,Mid-Range,August 2024
@gapakulbetz,semoga datang ke indo 4jt an aja,2023-10-02T12:46:05Z,0,iQOO Z8,iQOO,Mid-Range,August 2024
@adnansaputra5039,"Speakernya gimana min ??
Mono atau Stereo ?? 🤔🤔",2023-09-25T05:09:12Z,0,iQOO Z8,iQOO,Mid-Range,August 2024
@zzzzzzzzzzzzzzzzzzzzzzzz4760,Klw masuk indo 3 bulan lagi mending ambil iqoo z7 atau z8?,2023-09-21T10:17:32Z,1,iQOO Z8,iQOO,Mid-Range,August 2024
@bewanepep,Coba test pubg bg,2023-09-21T07:20:18Z,0,iQOO Z8,iQOO,Mid-Range,August 2024
@Ryūken_ish,Masuk indo jadi berapa harga nya?,2023-09-10T00:32:31Z,0,iQOO Z8,iQOO,Mid-Range,August 2024
@vxnashi1472,Masih lama ga masuk ke indonya,2023-09-08T10:01:46Z,0,iQOO Z8,iQOO,Mid-Range,August 2024
@SSS-pe9lq,Mtk 8200 3-4jt nangis gk tuh xiomi 12t mtk 8100 😁,2023-09-08T05:33:59Z,2,iQOO Z8,iQOO,Mid-Range,August 2024
@ibrahimaji7513,Udh TKDN emng?,2023-09-07T15:23:50Z,1,iQOO Z8,iQOO,Mid-Range,August 2024
@TJAIENG,33jt,2023-09-07T13:53:29Z,1,iQOO Z8,iQOO,Mid-Range,August 2024
@namasayasiapa,"Dan yg lebih kagetnya harganya bkl di 4jtan😅 
Apakah iqoo sedang membakar duit?  Kyk brand2 sebelumnya???????????",2023-09-07T12:03:08Z,0,iQOO Z8,iQOO,Mid-Range,August 2024
@ALPHAmywife,bkal msuk indo gk nih?,2023-09-07T02:50:30Z,2,iQOO Z8,iQOO,Mid-Range,August 2024
@akungaming9758,Beneran min masuk indo?,2023-09-06T13:44:40Z,1,iQOO Z8,iQOO,Mid-Range,August 2024
@muhakmal6437,"Stlh tiba di indo 5,5 juta😳",2023-09-06T13:44:04Z,2,iQOO Z8,iQOO,Mid-Range,August 2024
@tulusgunawan4105,Ada bypass charging kga min?,2023-09-06T06:47:54Z,0,iQOO Z8,iQOO,Mid-Range,August 2024
@reinalexander5550,"semoga iQoo Z masih mempertahankan panelnya yg IPS, jdi cocok untuk penggunaan jangka panjang",2023-09-05T22:39:41Z,10,iQOO Z8,iQOO,Mid-Range,August 2024
@dybala-kun,Infinix note 50 pro dong infonya masuk indo apa enggak?,2023-09-05T07:13:08Z,0,iQOO Z8,iQOO,Mid-Range,August 2024
@raflihidayat244,"Msuk indo 4,99 juta ni mah",2023-09-05T04:27:17Z,0,iQOO Z8,iQOO,Mid-Range,August 2024
@ojiithr,Gak ngotak klo 3jtan. Z7 aja masih 4jtan 😂,2023-09-05T03:39:20Z,2,iQOO Z8,iQOO,Mid-Range,August 2024
@banihusen9987,Ditunggu di Indonesia,2023-09-05T03:16:41Z,3,iQOO Z8,iQOO,Mid-Range,August 2024
@lmts.limit.alfarro402,emng dah ada jadwal launching nya di indo?,2023-09-05T02:41:16Z,0,iQOO Z8,iQOO,Mid-Range,August 2024
@Debisadri24.12,"Masuk indo dah lah slesai tu Xiomi, Relme, infinix",2023-09-05T02:02:55Z,1,iQOO Z8,iQOO,Mid-Range,August 2024
@ngawurwelah,wah mantap kalo masuk indo,2023-09-05T02:02:23Z,2,iQOO Z8,iQOO,Mid-Range,August 2024
@agusriyanto1164,Yg ini masuk Indonesia jg ya min,2023-09-04T12:51:24Z,0,iQOO Z8,iQOO,Mid-Range,August 2024
